pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	FDR (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Mean FDR (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	0.121695748275294	33.0	0.121695748275294	0.10646868905282597	33.0	65.3061224489796	0.2681146014760528	0.3070972449540351	25	-0.4767833499212085
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.188260765085654	30.5	0.188260765085654	0.10760849919135	32.0	63.26530612244898	0.27828520852525723	0.31146164978813257	25	-0.2890386135848221
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	0.188260765085654	30.5	0.188260765085654	0.11093387518255	30.5	60.204081632653065	0.2858563512939043	0.31052228529182546	25	-0.3142949502530262
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	0.188260765085654	30.5	0.188260765085654	0.11093387518255	30.5	60.204081632653065	0.29796334829319454	0.31219940176397176	25	-0.351386269761265
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	0.188260765085654	30.5	0.188260765085654	0.128195319942865	29.0	57.142857142857146	0.31151315237132277	0.3131576285701355	25	-0.39357938635706863
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	0.287418067626175	28.0	0.287418067626175	0.128568483356491	28.0	55.102040816326536	0.3330919742291459	0.31723415530286025	25	-0.14397537541115793
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.29176827130670696	26.5	0.29176827130670696	0.158941207821757	26.0	51.02040816326531	0.36262836568367135	0.3236496776143559	25	-0.21894072288061284
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.29176827130670696	26.5	0.29176827130670696	0.13959380794029	27.0	53.06122448979592	0.34775074448489013	0.3227494753795141	25	-0.17345488513143079
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.350915312432526	25.0	0.350915312432526	0.174422724847655	25.0	48.9795918367347	0.38484016240270863	0.3358764870834917	25	-0.10100394423188558
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.546041705907567	24.0	0.546041705907567	0.262457937892427	24.0	46.93877551020409	0.40024481157801817	0.33310784382412456	25	0.43768676430966047
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	0.547525669766741	23.0	0.547525669766741	0.279209205861568	23.0	44.89795918367347	0.4173458392969914	0.3290192921768022	25	0.39566017423621463
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	0.5784388844653809	21.5	0.5784388844653809	0.304414542935036	22.0	42.85714285714286	0.42868325258648876	0.33368061144134625	25	0.44879932109934995
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	0.5784388844653809	21.5	0.5784388844653809	0.338998355929438	21.0	40.81632653061225	0.4405157180309591	0.3266223636121943	25	0.4222710438718793
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	0.64055170676344	19.0	0.64055170676344	0.369417591383526	19.5	37.75510204081633	0.46393484174393373	0.317214281800046	25	0.5567746320162077
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	0.64055170676344	19.0	0.64055170676344	0.369417591383526	19.5	37.75510204081633	0.47842336561511073	0.31200674801768113	25	0.519630880352439
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	0.64055170676344	19.0	0.64055170676344	0.381099389297442	18.0	34.693877551020414	0.4924927699281685	0.31067900443187857	25	0.476565634378862
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	0.659338767826301	16.5	0.659338767826301	0.500849776755925	16.5	31.63265306122449	0.5102035130490095	0.30693889897874954	25	0.48587929152510795
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	0.659338767826301	16.5	0.659338767826301	0.500849776755925	16.5	31.63265306122449	0.5221714876403354	0.2982936217398333	25	0.45983980276185915
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.7217626387032651	15.0	0.7217626387032651	0.5311316287482241	15.0	28.57142857142857	0.5344508415863056	0.2935121581189188	25	0.6381738947967824
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	0.743814311364114	13.5	0.743814311364114	0.5610326996424201	13.0	24.489795918367346	0.5851388081491999	0.2757919614265022	25	0.5753449172128995
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	0.743814311364114	13.5	0.743814311364114	0.550823345233443	14.0	26.53061224489796	0.561690761036862	0.28731708467063594	25	0.6338765080260652
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	0.774191109539005	11.5	0.774191109539005	0.599093715712843	12.0	22.448979591836736	0.6060464066405765	0.27102723608266005	25	0.6203978069833042
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.774191109539005	11.5	0.774191109539005	0.601576318432454	11.0	20.408163265306122	0.6304653650832615	0.2568405074643578	25	0.5595914206628355
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	0.8024566103879359	10.0	0.8024566103879359	0.6900309050531639	10.0	18.36734693877551	0.664500237773914	0.24049334407909984	25	0.5736390466118146
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.8189453608292121	8.5	0.8189453608292121	0.7477785979820161	9.0	16.3265306122449	0.6990156430452178	0.2269776594680631	25	0.5283767489058501
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	0.8189453608292121	8.5	0.8189453608292121	0.788331280998807	7.5	13.26530612244898	0.732558798231114	0.20459452890776597	25	0.4222330042708147
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	0.8571529024549059	7.0	0.8571529024549059	0.788331280998807	7.5	13.26530612244898	0.7667814633670084	0.17343053455409038	25	0.5210814769166965
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.873174237832832	6.0	0.873174237832832	0.8347360194109441	5.5	9.183673469387756	0.8109583639305648	0.1534488818982103	25	0.4054501612044191
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.91291963783461	5.0	0.91291963783461	0.8347360194109441	5.5	9.183673469387756	0.8375445612132255	0.12594809877722815	25	0.5984614087323771
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	0.935793298647837	3.5	0.935793298647837	0.848517664395171	4.0	6.122448979591837	0.8614940395105403	0.11368456395402608	25	0.6535562661553883
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	0.935793298647837	3.5	0.935793298647837	0.8879743367452879	3.0	4.0816326530612255	0.8916808399539107	0.08528824709806244	25	0.5172161487057747
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.972751131988223	2.0	0.972751131988223	0.94758336965113	2.0	2.0408163265306123	0.9208293054242266	0.07206004082105989	25	0.7205356251869075
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	0.973930806971138	1.0	0.973930806971138	0.9659011798821652	1.0	0.0	0.9459251678737017	0.05348898634802813	25	0.5235776747612395
