,Run,Assay.Type,BioSample,Center.Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,SRA_study,BioProject,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,AvgSpotLen,Bases,Bytes,source_name,GEO_Accession..exp.,Strain,Library.Name,SAMPLE_TYPE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Collection_Date,Isolation_Source,BioSampleModel,Isolate,infection_side,Host,growth_condition,geographical_location,collected_by,lat_lon,host_disease,ENA.FIRST.PUBLIC..run.,ENA.LAST.UPDATE..run.,Genotype,genotype.variation,Replicate,specific_host,Sample_Name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,TITLE,AssemblyName,Alias,ENA_checklist,Location,INSDC_center_alias,Description,TREATMENT,growth_time,body_site,organism,strain_background,Time_point,analysis_type..exp.,analysis_type..run.,flowcell_barcode..run.,geographic_location_.country_and.or_sea,X_region.,gssr_id..exp.,gssr_id..run.,instrument_name..run.,isolation.source,lane..run.,library_type..exp.,library_type..run.,lsid..exp.,lsid..run.,material_type..exp.,product_order..exp.,product_order..run.,product_part_number..exp.,product_part_number..run.,project..exp.,project..run.,read_group_id..run.,research_project..exp.,research_project..run.,run_barcode..run.,run_name..run.,work_request..exp.,work_request..run.,Broker_name,growth_phase,ENA_first_public,ENA.LAST.UPDATE,Cell_type,culture_type,culture_collection,Time,phage,Biomaterial_provider,phase_of_infection,antibiotic,environmental_condition,Timepoint,growth_medium,Condition,exposed_to,Passages,media,agent,TISSUE,Phenotype,exposure,protocol,susceptibility,organism_part,fraction,stimulus,Replica,carbon_source,TaxID,medium,Cell_Line,taxonomy_id,cultivation_condition,number_of_cells,treatment_duration,treatment_type,genetic_background,plasmid,Biological_Replicate,depletion_method,growth_stage,host_or_sample_description,Tax_ID,Technical_replicate,treated,dangling_references..run.,ID,Incubation_time,molecule_subtype,geographic_location_.country_and.or_sea.,host_health_state,host_scientific_name
11,SRR8377190,RNA-Seq,SAMN10660581,GEO,public,SRX5187188,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-01-17T00:00:00Z,GSM3534623,SRP174640,PRJNA512099,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",100,605550600,355468179,PAO1 untreated,GSM3534623,PAO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,Pseudomonas aeruginosa PAO1 culture,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
12,SRR8377191,RNA-Seq,SAMN10660580,GEO,public,SRX5187189,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-01-17T00:00:00Z,GSM3534624,SRP174640,PRJNA512099,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",100,888926400,520879147,PAO1 untreated,GSM3534624,PAO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,Pseudomonas aeruginosa PAO1 culture,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
13,SRR8327202,RNA-Seq,SAMN10465522,SOUTH CHINA AGRICULTUAL UNIVERSITY,public,SRX5138916,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2018-12-17T00:00:00Z,20mg/L 5 day-1,SRP173569,PRJNA506639,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",300,2983827900,1263693801,,,,20 mg/L 5 day-1,cell culture,China,Asia,China,10/25/2017,soil in China,"Microbe\, viral or environmental",CCTCC AB93068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
14,SRR8327203,RNA-Seq,SAMN10465523,SOUTH CHINA AGRICULTUAL UNIVERSITY,public,SRX5138915,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2018-12-17T00:00:00Z,20mg/L 5 day-2,SRP173569,PRJNA506639,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",300,4661961900,1981051232,,,,20 mg/L 5 day-2,cell culture,China,Asia,China,10/25/2017,soil in China,"Microbe\, viral or environmental",CCTCC AB93069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
15,SRR8327204,RNA-Seq,SAMN10465520,SOUTH CHINA AGRICULTUAL UNIVERSITY,public,SRX5138914,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2018-12-17T00:00:00Z,20mg/L 2 day-1,SRP173569,PRJNA506639,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",300,4341846000,1863926733,,,,20 mg/L 2 day-1,cell culture,China,Asia,China,10/22/2017,soil in China,"Microbe\, viral or environmental",CCTCC AB93066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
16,SRR8327205,RNA-Seq,SAMN10465521,SOUTH CHINA AGRICULTUAL UNIVERSITY,public,SRX5138913,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2018-12-17T00:00:00Z,20mg/L 2 day-2,SRP173569,PRJNA506639,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",300,3619630500,1545052383,,,,20 mg/L 2 day-2,cell culture,China,Asia,China,10/22/2017,soil in China,"Microbe\, viral or environmental",CCTCC AB93067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
17,SRR7786905,RNA-Seq,SAMN09977142,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641866,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,Artificial urine 2,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,136769727,,,UCBPP-PA14,Artificial urine 2,Cell culture,USA,North America,"USA: College Park\, Maryland",18-Apr-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
18,SRR7786906,RNA-Seq,SAMN09977141,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641865,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,Artificial urine 1,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,137838883,,,UCBPP-PA14,Artificial urine 1,Cell culture,USA,North America,"USA: College Park\, Maryland",18-Apr-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
19,SRR7786907,RNA-Seq,SAMN09977143,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641864,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,Mouse bladder,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,138885624,,,UCBPP-PA14,Mouse bladder,Cell instilled into mouse bladder,USA,North America,"USA: College Park\, Maryland",18-Apr-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
20,SRR7786908,RNA-Seq,SAMN09977138,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641863,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,PBS Tryptone Human Urine 2,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,136632289,,,UCBPP-PA14,PBS Tryptone Human Urine 2,Cell culture,USA,North America,"USA: College Park\, Maryland",18-Apr-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
21,SRR7786909,RNA-Seq,SAMN09977137,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641862,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,PBS Tryptone Human Urine 1,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,137613278,,,UCBPP-PA14,PBS Tryptone Human Urine 1,Cell culture,USA,North America,"USA: College Park\, Maryland",18-Apr-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
22,SRR7786910,RNA-Seq,SAMN09977136,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641861,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,PBS Tryptone 2,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,138356637,,,UCBPP-PA14,PBS Tryptone 2,Cell culture,USA,North America,"USA: College Park\, Maryland",18-Apr-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
23,SRR7786911,RNA-Seq,SAMN09977135,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641860,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,PBS Tryptone 1,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,137486956,,,UCBPP-PA14,PBS Tryptone 1,Cell culture,USA,North America,"USA: College Park\, Maryland",18-Apr-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
24,SRR7786912,RNA-Seq,SAMN09977134,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641859,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,LB Urea 2,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,130148010,,,UCBPP-PA14,LB Urea 2,Cell culture,USA,North America,"USA: College Park\, Maryland",13-Mar-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
25,SRR7786913,RNA-Seq,SAMN09977133,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641858,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,LB Urea 1,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,130754000,,,UCBPP-PA14,LB Urea 1,Cell culture,USA,North America,"USA: College Park\, Maryland",13-Mar-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
26,SRR7786914,RNA-Seq,SAMN09977132,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641857,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,LB 2,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,129777605,,,UCBPP-PA14,LB 2,Cell culture,USA,North America,"USA: College Park\, Maryland",13-Mar-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
27,SRR7786915,RNA-Seq,SAMN09977131,UNIVERSITY OF MARYLAND AT COLLEGE PARK,public,SRX4641856,Illumina HiSeq 1500,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa UCBPP-PA14,ILLUMINA,2018-09-18T00:00:00Z,LB 1,SRP159622,PRJNA489391,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51,2.04E+08,129316701,,,UCBPP-PA14,LB 1,Cell culture,USA,North America,"USA: College Park\, Maryland",13-Mar-14,,"Microbe\, viral or environmental",,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
