experiment	sample_name	ml_data_source	description	nucleic_acid	medium	genotype	od	growth_setting_1	growth_setting_2	strain	temperature	treatment	additional_notes	variant_phenotype	abx_marker	biotic_int_lv_2	biotic_int_lv_1
E-GEOD-65870	GSM1608067 1	GSM1608067_Biofilm+12hrcipro_rep1.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 1.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 1"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with ciprofloxacin at 1.0 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65870	GSM1608068 1	GSM1608068_Biofilm+12hrcipro_rep2.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 1.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 2"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with ciprofloxacin at 1.0 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65870	GSM1608069 1	GSM1608069_Biofilm+12hrcipro_rep3.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 1.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 3"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with ciprofloxacin at 1.0 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65870	GSM1608070 1	GSM1608070_Biofilm+12hrtobra_rep1.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 10.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 1"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with tobramycin at 10 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65870	GSM1608071 1	GSM1608071_Biofilm+12hrtobra_rep2.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 10.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 2"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with tobramycin at 10 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65870	GSM1608072 1	GSM1608072_Biofilm+12hrtobra_rep3.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 10.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 3"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with tobramycin at 10 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65869	GSM1608059 1	GSM1608059_Planktonic_1.CEL	PAO1 WT. Planktonic. Rep1	RNA	PBM plus 1 g / L glucose. 	WT	0.26	Planktonic 	Aerated	PAO1	37		Grown shaking at 200rpm				
E-GEOD-65869	GSM1608060 1	GSM1608060_Planktonic_2.CEL	PAO1 WT. Planktonic. Rep2	RNA	PBM plus 1 g / L glucose. 	WT	0.26	Planktonic 	Aerated	PAO1	37		Grown shaking at 200rpm				
E-GEOD-65869	GSM1608061 1	GSM1608061_Planktonic_3.CEL	PAO1 WT. Planktonic. Rep3	RNA	PBM plus 1 g / L glucose. 	WT	0.26	Planktonic 	Aerated	PAO1	37		Grown shaking at 200rpm				
E-GEOD-65869	GSM1608062 1	GSM1608062_Planktonic_4.CEL	PAO1 WT. Planktonic. Rep4	RNA	PBM plus 1 g / L glucose. 	WT	0.26	Planktonic 	Aerated	PAO1	37		Grown shaking at 200rpm				
E-GEOD-54245	GSM1310895 1	GSM1310895_PA14_wild-type.CEL	PA14 wild-type without H2O2	RNA	LB	WT	1.5	Planktonic	Aerated	PA14	37						
E-GEOD-54245	GSM1310896 1	GSM1310896_PA14_lasR_rhlR.CEL	PA14 lasR rhlR without H2O2.	RNA	LB	∆lasR∆rhR	1.5	Planktonic	Aerated	PA14	37						
E-GEOD-54245	GSM1310897 1	GSM1310897_PA14_wild-type_+H2O2.CEL	PA14 wild-type with H2O2.	RNA	LB	WT	1.5	Planktonic	Aerated	PA14	37	80 mM H2O2	30 min exposure				
E-GEOD-54245	GSM1310898 1	GSM1310898_PA14_lasR_rhlR_+H2O2.CEL	PA14 lasR rhlR with H2O2.	RNA	LB	∆lasR∆rhR	1.5	Planktonic	Aerated	PA14	37	80 mM H2O2	30 min exposure				
E-MTAB-2540	Overhage13001	Overhage13001_(Pae_G1a).CEL	"PA14 wt 1  was spotted on BM2-swarm plates containing 0.1% (wt/vol) CAA and 0.5% (wt/vol) agar) and incubated for 20 h at 37 °C, replicate 1"	RNA	BM2	WT	20 hours	Swarm	swarm plates	PA14	37		BM2-swarm plates containing 0.1 % (wt/vol) casaminoacids and 0.5 % (wt/vol) agar				
E-MTAB-2540	Overhage13002	Overhage13002_(Pae_G1a).CEL	"PA14 wt 2  was spotted on BM2-swarm plates containing 0.1% (wt/vol) CAA and 0.5% (wt/vol) agar) and incubated for 20 h at 37 °C, replicate 2"	RNA	BM2	WT	20 hours	Swarm	swarm plates	PA14	37		BM2-swarm plates containing 0.1 % (wt/vol) casaminoacids and 0.5 % (wt/vol) agar				
E-MTAB-2540	Overhage13003	Overhage13003_(Pae_G1a).CEL	"PA14 PA4398 mutant strain was spotted on BM2-swarm plates containing 0.1% (wt/vol) CAA and 0.5% (wt/vol) agar) and incubated for 20 h at 37 °C, replicate 1"	RNA	BM2	ΔPA4398	20 hours	Swarm	swarm plates	PA14	37		BM2-swarm plates containing 0.1 % (wt/vol) casaminoacids and 0.5 % (wt/vol) agar				
E-MTAB-2540	Overhage13004	Overhage13004_(Pae_G1a).CEL	"PA14 PA4398 mutant strain was spotted on BM2-swarm plates containing 0.1% (wt/vol) CAA and 0.5% (wt/vol) agar) and incubated for 20 h at 37 °C, replicate 2"	RNA	BM2	ΔPA4398	20 hours	Swarm	swarm plates	PA14	37		BM2-swarm plates containing 0.1 % (wt/vol) casaminoacids and 0.5 % (wt/vol) agar				
E-GEOD-51491	GSM1246481 1	GSM1246481_PA14bvlR_pME6032_rep1.CEL	PAO1 ∆bvlR plus empty vector. Planktonic. Rep1	RNA	LB	bvlR::tn5 pME6032	0.7	Planktonic 	Aerated	PA14	37		Grown shaking at 150rpm 				
E-GEOD-51491	GSM1246482 1	GSM1246482_PA14bvlR_pME6032_rep2.CEL	PAO1 ∆bvlR plus empty vector. Planktonic. Rep2	RNA	LB	bvlR::tn5 pME6032	0.7	Planktonic 	Aerated	PA14	37		Grown shaking at 150rpm 				
E-GEOD-51491	GSM1246483 1	GSM1246483_PA14bvlR_pME6032_rep3.CEL	PAO1 ∆bvlR plus empty vector. Planktonic. Rep3	RNA	LB	bvlR::tn5 pME6032	0.7	Planktonic 	Aerated	PA14	37		Grown shaking at 150rpm 				
E-GEOD-51491	GSM1246484 1	GSM1246484_PA14bvlR_pMEbvlR_rep1.CEL	PAO1 ∆bvlR plus bvlR expression construct. Planktonic. Rep1	RNA	LB	bvlR::tn5 pMEbvlR	0.7	Planktonic 	Aerated	PA14	37		Grown shaking at 150rpm 				
E-GEOD-51491	GSM1246485 1	GSM1246485_PA14bvlR_pMEbvlR_rep2.CEL	PAO1 ∆bvlR plus bvlR expression construct. Planktonic. Rep2	RNA	LB	bvlR::tn5 pMEbvlR	0.7	Planktonic 	Aerated	PA14	37		Grown shaking at 150rpm 				
E-GEOD-51491	GSM1246486 1	GSM1246486_PA14bvlR_pMEbvlR_rep3.CEL	PAO1 ∆bvlR plus bvlR expression construct. Planktonic. Rep3	RNA	LB	bvlR::tn5 pMEbvlR	0.7	Planktonic 	Aerated	PA14	37		Grown shaking at 150rpm 				
E-GEOD-47173	GSM1146022 1	GSM1146022_pJN105_1.CEL	PAO1 pJN105; control; replicate 1	RNA	MOPS + 0.5% CAA + 0.5% glucose	WT	1	Planktonic		PAO1	37		pH 7.2; exponential phase cells				
E-GEOD-47173	GSM1146023 1	GSM1146023_pJN105_2.CEL	PAO1 pJN105; control; replicate 2	RNA	MOPS + 0.5% CAA + 0.5% glucose	WT	1	Planktonic		PAO1	37		pH 7.2; exponential phase cells				
E-GEOD-47173	GSM1146024 1	GSM1146024_phaF_1.CEL	PAO1 pJN105-phaF; replicate 1	RNA	MOPS + 0.5% CAA + 0.5% glucose	phaF OE	1	Planktonic		PAO1	37		pH 7.2; exponential phase cells				
E-GEOD-47173	GSM1146025 1	GSM1146025_phaF_2.CEL	PAO1 pJN105-phaF; replicate 2	RNA	MOPS + 0.5% CAA + 0.5% glucose	phaF OE	1	Planktonic		PAO1	37		pH 7.2; exponential phase cells				
E-GEOD-58862	GSM1420990 1	GSM1420990_PAO1_control1.CEL	"Gene expression data from microaerobically grown P. aeruginosa PAO1ut before exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	WT	0.3	Planktonic	1 l jar fermenter	PAO1	37						
E-GEOD-58862	GSM1420991 1	GSM1420991_PAO1_control2.CEL	"Gene expression data from microaerobically grown P. aeruginosa PAO1ut before exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	WT	0.3	Planktonic	1 l jar fermenter	PAO1	37						
E-GEOD-58862	GSM1420992 1	GSM1420992_PAO1_NO1.CEL	"Gene expression data from microaerobically grown P. aeruginosa PAO1ut after exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	WT	0.3	Planktonic	1 l jar fermenter	PAO1	37	20 μM NO was added					
E-GEOD-58862	GSM1420993 1	GSM1420993_PAO1_NO2.CEL	"Gene expression data from microaerobically grown P. aeruginosa PAO1ut after exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	WT	0.3	Planktonic	1 l jar fermenter	PAO1	37	20 μM NO was added					
E-GEOD-58862	GSM1420994 1	GSM1420994_anr_control1.CEL	"Gene expression data from microaerobically grown P. aeruginosa anr mutant before exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆anr	0.3	Planktonic	1 l jar fermenter	Rmanr (PAO1)	37						
E-GEOD-58862	GSM1420995 1	GSM1420995_anr_control2.CEL	"Gene expression data from microaerobically grown P. aeruginosa anr mutant before exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆anr	0.3	Planktonic	1 l jar fermenter	Rmanr (PAO1)	37						
E-GEOD-58862	GSM1420996 1	GSM1420996_anr_NO1.CEL	"Gene expression data from microaerobically grown P. aeruginosa anr mutant after exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆anr	0.3	Planktonic	1 l jar fermenter	Rmanr (PAO1)	37	20 μM NO was added					
E-GEOD-58862	GSM1420997 1	GSM1420997_anr_NO2.CEL	"Gene expression data from microaerobically grown P. aeruginosa anr mutant after exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆anr	0.3	Planktonic	1 l jar fermenter	Rmanr (PAO1)	37	20 μM NO was added					
E-GEOD-58862	GSM1420998 1	GSM1420998_dnr_control1.CEL	"Gene expression data from microaerobically grown P. aeruginosa dnr mutant before exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆dnr	0.3	Planktonic	1 l jar fermenter	RMdnr (PAO1)	37						
E-GEOD-58862	GSM1420999 1	GSM1420999_dnr_control2.CEL	"Gene expression data from microaerobically grown P. aeruginosa dnr mutant before exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆dnr	0.3	Planktonic	1 l jar fermenter	RMdnr (PAO1)	37						
E-GEOD-58862	GSM1421000 1	GSM1421000_dnr_NO1.CEL	"Gene expression data from microaerobically grown P. aeruginosa dnr mutant after exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆dnr	0.3	Planktonic	1 l jar fermenter	RMdnr (PAO1)	37	20 μM NO was added					
E-GEOD-58862	GSM1421001 1	GSM1421001_dnr_NO2.CEL	"Gene expression data from microaerobically grown P. aeruginosa dnr mutant after exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆dnr	0.3	Planktonic	1 l jar fermenter	RMdnr (PAO1)	37	20 μM NO was added					
E-GEOD-58862	GSM1421002 1	GSM1421002_EXdnr_control1.CEL	"Gene expression data from microaerobically grown P. aeruginosa anr mutant expressing DNR before exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆anr +dnr	0.3	Planktonic	1 l jar fermenter	RManrEXdnr (PAO1)	37						
E-GEOD-58862	GSM1421003 1	GSM1421003_EXdnr_control2.CEL	"Gene expression data from microaerobically grown P. aeruginosa anr mutant expressing DNR before exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆anr +dnr	0.3	Planktonic	1 l jar fermenter	RManrEXdnr (PAO1)	37						
E-GEOD-58862	GSM1421004 1	GSM1421004_EXdnr_NO1.CEL	"Gene expression data from microaerobically grown P. aeruginosa anr mutant expressing DNR after exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆anr +dnr	0.3	Planktonic	1 l jar fermenter	RManrEXdnr (PAO1)	37	20 μM NO was added					
E-GEOD-58862	GSM1421005 1	GSM1421005_EXdnr_NO2.CEL	"Gene expression data from microaerobically grown P. aeruginosa anr mutant expressing DNR after exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆anr +dnr	0.3	Planktonic	1 l jar fermenter	RManrEXdnr (PAO1)	37	20 μM NO was added					
E-GEOD-58862	GSM1421006 1	GSM1421006_fhpR_control1.CEL	"Gene expression data from microaerobically grown P. aeruginosa fhpR mutant before exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆fhpR	0.3	Planktonic	1 l jar fermenter	PDM2665 (PAO1)	37						
E-GEOD-58862	GSM1421007 1	GSM1421007_fhpR_control2.CEL	"Gene expression data from microaerobically grown P. aeruginosa fhpR mutant before exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆fhpR	0.3	Planktonic	1 l jar fermenter	PDM2665 (PAO1)	37						
E-GEOD-58862	GSM1421008 1	GSM1421008_fhpR_NO1.CEL	"Gene expression data from microaerobically grown P. aeruginosa fhpR mutant after exposure to nitric oxide. It is the first of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆fhpR	0.3	Planktonic	1 l jar fermenter	PDM2665 (PAO1)	37	20 μM NO was added					
E-GEOD-58862	GSM1421009 1	GSM1421009_fhpR_NO2.CEL	"Gene expression data from microaerobically grown P. aeruginosa fhpR mutant after exposure to nitric oxide. It is the second of two biological replicates used in this experiment, each from separate cultures."	RNA	LB with a constant supply of 98% N2 and 2% O2	∆fhpR	0.3	Planktonic	1 l jar fermenter	PDM2665 (PAO1)	37	20 μM NO was added					
E-GEOD-63588	GSM1553187 1	GSM1553187_Persisters_C1.CEL	PAO1 WT; persister cells; control; replicate 1	RNA	PBS	WT		Planktonic	Aerated	PAO1	37		1 hour; 200 rpm; stationary phase cells	Persister cell			
E-GEOD-63588	GSM1553188 1	GSM1553188_Persisters_T1.CEL	PAO1 WT; persister cells; GM-CSF; replicate 1	RNA	PBS	WT		Planktonic	Aerated	PAO1	37	0.17 pM GM-CSF	1 hour; 200 rpm; stationary phase cells	Persister cell			
E-GEOD-63588	GSM1553189 1	GSM1553189_Persisters_C2.CEL	PAO1 WT; persister cells; control; replicate 2	RNA	PBS	WT		Planktonic	Aerated	PAO1	37		1 hour; 200 rpm; stationary phase cells	Persister cell			
E-GEOD-63588	GSM1553190 1	GSM1553190_Persisters_T2.CEL	PAO1 WT; persister cells; GM-CSF; replicate 2	RNA	PBS	WT		Planktonic	Aerated	PAO1	37	0.17 pM GM-CSF	1 hour; 200 rpm; stationary phase cells	Persister cell			
E-GEOD-63588	GSM1553191 1	GSM1553191_Normal_C1.CEL	PAO1 WT; control; replicate 1	RNA	PBS	WT		Planktonic	Aerated	PAO1	37		1 hour; 200 rpm; stationary phase cells				
E-GEOD-63588	GSM1553192 1	GSM1553192_Normal_T1.CEL	PAO1 WT; GM-CSF; replicate 1	RNA	PBS	WT		Planktonic	Aerated	PAO1	37	0.17 pM GM-CSF	1 hour; 200 rpm; stationary phase cells				
E-GEOD-63588	GSM1553193 1	GSM1553193_Normal_C2.CEL	PAO1 WT; control; replicate 2	RNA	PBS	WT		Planktonic	Aerated	PAO1	37		1 hour; 200 rpm; stationary phase cells				
E-GEOD-63588	GSM1553194 1	GSM1553194_Normal_T2.CEL	PAO1 WT; GM-CSF; replicate 2	RNA	PBS	WT		Planktonic	Aerated	PAO1	37	0.17 pM GM-CSF	1 hour; 200 rpm; stationary phase cells				
E-MTAB-2160	Pseudomonas aeruginosa cbrA (1)	Overhage3004_(Pae_G1a).CEL	"Overnight cultures of Pseudomonas aeruginosa  cbrA mutant grown in LB medium at 37 degrees C and 170 rpm were washed twice and resuspended in PBS buffer and adjusted to an optical density of OD600 of 2.0. Of these bacterial cell suspensions, 10 ul were mixed with washed amoeba cells of 2-days old D. discoideum cultures in a ratio of 3:1 bacteria to amoebae. These mixtures were subsequently plated on M9 agar plates and incubated for 48 h at 22.5 degrees C, replicate 1"	RNA	M9 agar	∆cbrA		colony	lawn on plate	PA14	22.5					Dictyostelium discoideum	amoeba
E-MTAB-2160	Pseudomonas aeruginosa cbrA (2)	Overhage3006_(Pae_G1a).CEL	"Overnight cultures of Pseudomonas aeruginosa  cbrA mutant grown in LB medium at 37 degrees C and 170 rpm were washed twice and resuspended in PBS buffer and adjusted to an optical density of OD600 of 2.0. Of these bacterial cell suspensions, 10 ul were mixed with washed amoeba cells of 2-days old D. discoideum cultures in a ratio of 3:1 bacteria to amoebae. These mixtures were subsequently plated on M9 agar plates and incubated for 48 h at 22.5 degrees C, replicate 2"	RNA	M9 agar	∆cbrA		colony	lawn on plate	PA14	22.5					Dictyostelium discoideum	amoeba
E-MTAB-2160	Pseudomonas aeruginosa PA14 (1)	Overhage3002_(Pae_G1a).CEL	"Overnight cultures of Pseudomonas aeruginosa PA14 wild type grown in LB medium at 37 degrees C and 170 rpm were washed twice and resuspended in PBS buffer and adjusted to an optical density of OD600 of 2.0. Of these bacterial cell suspensions, 10 ul were mixed with washed amoeba cells of 2-days old D. discoideum cultures in a ratio of 3:1 bacteria to amoebae. These mixtures were subsequently plated on M9 agar plates and incubated for 48 h at 22.5 degrees C, replicate 1"	RNA	M9 agar	WT		colony	lawn on plate	PA14	22.5					Dictyostelium discoideum	amoeba
E-MTAB-2160	Pseudomonas aeruginosa PA14 (2)	Overhage3005_(Pae_G1a).CEL	"Overnight cultures of Pseudomonas aeruginosa PA14 wild type grown in LB medium at 37 degrees C and 170 rpm were washed twice and resuspended in PBS buffer and adjusted to an optical density of OD600 of 2.0. Of these bacterial cell suspensions, 10 ul were mixed with washed amoeba cells of 2-days old D. discoideum cultures in a ratio of 3:1 bacteria to amoebae. These mixtures were subsequently plated on M9 agar plates and incubated for 48 h at 22.5 degrees C, replicate 2"	RNA	M9 agar	WT		colony	lawn on plate	PA14	22.5					Dictyostelium discoideum	amoeba
E-MTAB-1983	Source_1	120330-10978D_22_(Pae_G1a).CEL	MPAO1 bfms mutant grown planktonically in minimal medium with 0.2% glucose with shaking for 48 hours to an OD of 1.0 at 37C; replicate 1	RNA	minimal media with 0.2% glucose	bfms mutant	1	planktonic	aerated	MPAO1	37		"minimal medium (6g Na2HPO4, 3g KH2PO4, 0.5g NaCl, 0.24g MgSO4, 0.5g Glutamate per liter; pH7.4) "				
E-MTAB-1983	Source_2	120330-10978D_23_(Pae_G1a).CEL	MPAO1 bfms mutant grown planktonically in minimal medium with 0.2% glucose with shaking for 48 hours to an OD of 1.0 at 37C; replicate 2	RNA	minimal media with 0.2% glucose	bfms mutant	1	planktonic	aerated	MPAO1	37		"minimal medium (6g Na2HPO4, 3g KH2PO4, 0.5g NaCl, 0.24g MgSO4, 0.5g Glutamate per liter; pH7.4) "				
E-MTAB-1983	Source_3	120330-10978D_24_(Pae_G1a).CEL	MPAO1 bfms mutant grown planktonically in minimal medium with 0.2% glucose with shaking for 48 hours to an OD of 1.0 at 37C; replicate 3	RNA	minimal media with 0.2% glucose	bfms mutant	1	planktonic	aerated	MPAO1	37		"minimal medium (6g Na2HPO4, 3g KH2PO4, 0.5g NaCl, 0.24g MgSO4, 0.5g Glutamate per liter; pH7.4) "				
E-MTAB-1983	Source_4	120330-10978D_M1_(Pae_G1a).CEL	MPAO1 WT  grown planktonically in minimal medium with 0.2% glucose with shaking for 48 hours to an OD of 1.0 at 37C; replicate 1	RNA	minimal media with 0.2% glucose	WT	1	planktonic	aerated	MPAO1	37		"minimal medium (6g Na2HPO4, 3g KH2PO4, 0.5g NaCl, 0.24g MgSO4, 0.5g Glutamate per liter; pH7.4) "				
E-MTAB-1983	Source_5	120330-10978D_M3_(Pae_G1a).CEL	MPAO1 WT  grown planktonically in minimal medium with 0.2% glucose with shaking for 48 hours to an OD of 1.0 at 37C; replicate 2	RNA	minimal media with 0.2% glucose	WT	1	planktonic	aerated	MPAO1	37		"minimal medium (6g Na2HPO4, 3g KH2PO4, 0.5g NaCl, 0.24g MgSO4, 0.5g Glutamate per liter; pH7.4) "				
E-MTAB-1983	Source_6	120330-10978D_M4_(Pae_G1a).CEL	MPAO1 WT  grown planktonically in minimal medium with 0.2% glucose with shaking for 48 hours to an OD of 1.0 at 37C; replicate 3	RNA	minimal media with 0.2% glucose	WT	1	planktonic	aerated	MPAO1	37		"minimal medium (6g Na2HPO4, 3g KH2PO4, 0.5g NaCl, 0.24g MgSO4, 0.5g Glutamate per liter; pH7.4) "				
E-GEOD-61925	GSM1517347 1	GSM1517347_MK-1.CEL	PAO1 WT. Planktonic plus mouse fascia homogenate. Rep1	RNA	TY	WT		Planktonic 		PAO1	37					Fascia homogenate	Mouse
E-GEOD-61925	GSM1517348 1	GSM1517348_MK-2.CEL	PAO1 WT. Planktonic plus mouse fascia homogenate. Rep2	RNA	TY	WT		Planktonic 		PAO1	37					Fascia homogenate	Mouse
