pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
KEGG-Pathway-pae00550: Peptidoglycan biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00550: Peptidoglycan biosynthesis - Pseudomonas aeruginosa PAO1	0.0116247803548091	127.5	0.0116247803548091	0.0145844253806717	129.0	0.020471053408149368	0.01994803527521205	25	-0.4434658817920218
KEGG-Pathway-pae00300: Lysine biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00300: Lysine biosynthesis - Pseudomonas aeruginosa PAO1	0.0116247803548091	127.5	0.0116247803548091	0.00923893388506211	131.0	0.015787248996230505	0.01684949757150071	25	-0.24703814601936955
KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	0.0117877151083633	126.0	0.0117877151083633	0.0839392307957242	97.0	0.10790361272423384	0.10058177399464603	25	-0.9555995465041887
KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa PAO1	0.0132049590220864	124.5	0.0132049590220864	0.00496641060754777	140.0	0.006246897118008498	0.004375884644090909	25	1.5900926258359902
KEGG-Pathway-pae00760: Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00760: Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa PAO1	0.0132049590220864	124.5	0.0132049590220864	0.00805682684973303	134.0	0.00857102800587275	0.005092773158759346	25	0.9099032828987271
KEGG-Module-M00115: NAD biosynthesis, aspartate => NAD	KEGG-Module-M00115: NAD biosynthesis, aspartate => NAD	0.0140025754243754	123.0	0.0140025754243754	0.0120014202864244	130.0	0.015264020573739118	0.012855240491267966	25	-0.09812691954075592
KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine	KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine	0.0146051519729598	121.5	0.0146051519729598	0.0821462855097458	98.0	0.09542525015219988	0.06886044776298038	25	-1.1736795330960548
KEGG-Module-M00050: Guanine ribonucleotide biosynthesis IMP => GDP,GTP	KEGG-Module-M00050: Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0.0146051519729598	121.5	0.0146051519729598	0.0148717110638993	128.0	0.022648941696211854	0.015427157669638352	25	-0.5214045189336954
KEGG-Module-M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	KEGG-Module-M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	0.0146342972011752	120.0	0.0146342972011752	0.0581160524978535	105.0	0.06334845813520475	0.029793206923242468	25	-1.6350761117973622
KEGG-Pathway-pae00640: Propanoate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00640: Propanoate metabolism - Pseudomonas aeruginosa PAO1	0.0149995912599703	119.0	0.0149995912599703	0.0352750865352838	117.0	0.04788299874789683	0.04147368139691437	25	-0.7928740922037619
KEGG-Pathway-pae00770: Pantothenate and CoA biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00770: Pantothenate and CoA biosynthesis - Pseudomonas aeruginosa PAO1	0.0170068027210884	118.0	0.0170068027210884	0.0232302405498282	123.0	0.03484630252840033	0.024881552257555915	25	-0.7169769644052058
KEGG-Pathway-pae03430: Mismatch repair - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03430: Mismatch repair - Pseudomonas aeruginosa PAO1	0.0174036007796331	117.0	0.0174036007796331	0.0553266467877474	107.0	0.0680280457264055	0.04527370805285482	25	-1.1181864071675078
KEGG-Pathway-pae00364: Fluorobenzoate degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00364: Fluorobenzoate degradation - Pseudomonas aeruginosa PAO1	0.0185918591859186	116.0	0.0185918591859186	0.0210351741213198	124.0	0.025487392101618243	0.022796007977564394	25	-0.3024886165369901
KEGG-Module-M00332: Type III secretion system	KEGG-Module-M00332: Type III secretion system	0.0234465133260314	115.0	0.0234465133260314	0.00837545842006145	132.0	0.019894952502856045	0.03459784778473139	25	0.10265265184335298
KEGG-Pathway-pae01220: Degradation of aromatic compounds - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae01220: Degradation of aromatic compounds - Pseudomonas aeruginosa PAO1	0.0291468993111939	113.5	0.0291468993111939	0.0064720374790967206	136.0	0.012940638762258634	0.016770955672949398	25	0.9663289835697941
KEGG-Pathway-pae00521: Streptomycin biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00521: Streptomycin biosynthesis - Pseudomonas aeruginosa PAO1	0.0291468993111939	113.5	0.0291468993111939	0.0164312665238186	127.0	0.018811638611416888	0.013008947776507032	25	0.7944732254549862
KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0301615973694458	112.0	0.0301615973694458	0.0743328723331897	101.0	0.08378933351912457	0.04606771774863636	25	-1.1641066406261507
KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	0.0337818731412413	110.5	0.0337818731412413	0.03890608875129	114.0	0.04964013482565779	0.034047221096433364	25	-0.465772570381015
KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis - Pseudomonas aeruginosa PAO1	0.0337818731412413	110.5	0.0337818731412413	0.0505585977139137	110.0	0.06391184175785028	0.04641852449267984	25	-0.649093631172194
KEGG-Module-M00210: Putative ABC transport system	KEGG-Module-M00210: Putative ABC transport system	0.0338983432835485	108.0	0.0338983432835485	0.0356190091234554	116.0	0.04959121469680122	0.04191671475560846	25	-0.374382188698436
KEGG-Module-M00616: Sulfate-sulfur assimilation	KEGG-Module-M00616: Sulfate-sulfur assimilation	0.0338983432835485	108.0	0.0338983432835485	0.131430626170725	88.0	0.17693987063742342	0.1606278885246481	25	-0.8905148954375095
KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1	0.0338983432835485	108.0	0.0338983432835485	0.026850969176993998	120.0	0.029234072611113757	0.013296758368885777	25	0.3507825398518989
KEGG-Module-M00240: Iron complex transport system	KEGG-Module-M00240: Iron complex transport system	0.0358757898894155	106.0	0.0358757898894155	0.0559758104151976	106.0	0.1068608757332872	0.14931175479916303	25	-0.4754152540726124
KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0.0407884151246983	104.5	0.0407884151246983	0.06569464881377599	103.0	0.08408846774701167	0.07259743607401058	25	-0.5964405213728273
KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system	KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system	0.0407884151246983	104.5	0.0407884151246983	0.0911653329522721	94.0	0.09644648897802632	0.048773726465325545	25	-1.1411486857149766
KEGG-Pathway-pae00670: One carbon pool by folate - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00670: One carbon pool by folate - Pseudomonas aeruginosa PAO1	0.0409653012890818	103.0	0.0409653012890818	0.0534465852271026	109.0	0.07375201742001337	0.05653991730452598	25	-0.5798861705853082
KEGG-Pathway-pae00480: Glutathione metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00480: Glutathione metabolism - Pseudomonas aeruginosa PAO1	0.0412860336684384	102.0	0.0412860336684384	0.0386621982161851	115.0	0.06753344957502053	0.06255164585090286	25	-0.41961191507486567
KEGG-Pathway-pae00650: Butanoate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00650: Butanoate metabolism - Pseudomonas aeruginosa PAO1	0.0415278055073488	101.0	0.0415278055073488	0.120671414418961	91.0	0.13665983015921904	0.09848073608950168	25	-0.9659962793678952
KEGG-Module-M00529: Denitrification, nitrate => nitrogen	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	0.0416682337700328	100.0	0.0416682337700328	0.6194060128097011	28.5	0.5627927122280212	0.29267446509620854	25	-1.7805601123647166
KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	0.0424843397558807	99.0	0.0424843397558807	0.0658825223721979	102.0	0.06550547231128057	0.027349888341789873	25	-0.841726747389466
KEGG-Module-M00258: Putative ABC transport system	KEGG-Module-M00258: Putative ABC transport system	0.0484677155031137	98.0	0.0484677155031137	0.0807890034795147	99.0	0.09857124641462094	0.05916145533194595	25	-0.8468948343204866
KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0.0493954456976883	97.0	0.0493954456976883	0.0548951936253362	108.0	0.07252050145408058	0.045745268037772	25	-0.5055179857575183
KEGG-Module-M00082: Fatty acid biosynthesis, initiation	KEGG-Module-M00082: Fatty acid biosynthesis, initiation	0.0549185755628587	96.0	0.0549185755628587	0.363277738023156	55.0	0.368499717722318	0.12533507931434582	25	-2.5019423442736586
KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	0.0582233529442943	94.5	0.0582233529442943	0.0991206717115592	93.0	0.11602677940669695	0.08108768954130702	25	-0.7128508259315602
KEGG-Pathway-pae00460: Cyanoamino acid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00460: Cyanoamino acid metabolism - Pseudomonas aeruginosa PAO1	0.0582233529442943	94.5	0.0582233529442943	0.23429705315114102	73.0	0.26217136357614457	0.16601120404327668	25	-1.228519555696277
KEGG-Module-M00083: Fatty acid biosynthesis, elongation	KEGG-Module-M00083: Fatty acid biosynthesis, elongation	0.0607864842874254	93.0	0.0607864842874254	0.18064707531024	82.0	0.1938919034440162	0.08825826490786429	25	-1.5081354623903374
KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	0.0629229021583445	92.0	0.0629229021583445	0.0352307062466878	118.0	0.04025305140903666	0.028972354800626026	25	0.7824649016385093
KEGG-Pathway-pae00401: Novobiocin biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00401: Novobiocin biosynthesis - Pseudomonas aeruginosa PAO1	0.0683807203872847	91.0	0.0683807203872847	0.21659312841617004	75.0	0.1949079015507873	0.08406414373415068	25	-1.5051266276337683
KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.0696498790078645	90.0	0.0696498790078645	0.12667070613277498	89.0	0.16726834029963547	0.11311649893122655	25	-0.862990476315235
KEGG-Pathway-pae00061: Fatty acid biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00061: Fatty acid biosynthesis - Pseudomonas aeruginosa PAO1	0.0768680961663418	89.0	0.0768680961663418	0.20201650472514301	78.5	0.22922940717152548	0.11328383602364332	25	-1.3449519044657399
KEGG-Pathway-pae00750: Vitamin B6 metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00750: Vitamin B6 metabolism - Pseudomonas aeruginosa PAO1	0.0809243645851779	88.0	0.0809243645851779	0.120191235351116	92.0	0.12588942582685614	0.07335045380300025	25	-0.6130168105359293
KEGG-Module-M00533: Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	KEGG-Module-M00533: Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	0.0853541025658065	87.0	0.0853541025658065	0.0651483962723156	104.0	0.09618262771134076	0.13253906841281313	25	-0.08170062816351753
KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	0.10075919536580401	86.0	0.10075919536580401	0.0245592974031718	122.0	0.04858988708230525	0.05345132273647673	25	0.9760152904110811
KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	0.10442926452485	85.0	0.10442926452485	0.179366792588595	83.0	0.19353623167032308	0.14396461009626216	25	-0.6189504982223865
KEGG-Pathway-pae00910: Nitrogen metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00910: Nitrogen metabolism - Pseudomonas aeruginosa PAO1	0.104572766114717	84.0	0.104572766114717	0.632787654356359	24.5	0.5383591192202831	0.2318139387583763	25	-1.8712694992759222
KEGG-Pathway-pae00281: Geraniol degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00281: Geraniol degradation - Pseudomonas aeruginosa PAO1	0.13577290842929401	83.0	0.13577290842929401	0.372652465089769	53.0	0.40020049197913893	0.25730411720325175	25	-1.0276850072358779
KEGG-Module-M00087: beta-Oxidation	KEGG-Module-M00087: beta-Oxidation	0.139914772727273	82.0	0.139914772727273	0.542134210526316	39.0	0.5075860288549506	0.14645152050242713	25	-2.5105321874864672
KEGG-Pathway-pae00362: Benzoate degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00362: Benzoate degradation - Pseudomonas aeruginosa PAO1	0.14179339276350303	80.5	0.14179339276350303	0.392159431928653	52.0	0.40880849616601034	0.16181703861853522	25	-1.6501049931581326
KEGG-Module-M00324: Dipeptide transport system	KEGG-Module-M00324: Dipeptide transport system	0.14179339276350303	80.5	0.14179339276350303	0.150632276753384	86.0	0.15681716427860168	0.11968513583210842	25	-0.12552746346190938
KEGG-Pathway-pae00310: Lysine degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00310: Lysine degradation - Pseudomonas aeruginosa PAO1	0.14413129469039998	79.0	0.14413129469039998	0.15483253325830101	85.0	0.16932306447955867	0.10576810401246615	25	-0.2381792698693881
KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa PAO1	0.16324200913242	77.5	0.16324200913242	0.126557632398754	90.0	0.14240598479449976	0.08575610663920362	25	0.2429684037031016
KEGG-Pathway-pae00740: Riboflavin metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00740: Riboflavin metabolism - Pseudomonas aeruginosa PAO1	0.16324200913242	77.5	0.16324200913242	0.20201650472514301	78.5	0.23013338225272634	0.1157221153785193	25	-0.5780344828774441
KEGG-Module-M00193: Putative spermidine/putrescine transport system	KEGG-Module-M00193: Putative spermidine/putrescine transport system	0.164966205563401	75.5	0.164966205563401	0.28867300096082	64.0	0.3250285336465613	0.1827871174789531	25	-0.8756761980317929
