	pathway	LV index	AUC	p-value	FDR
123	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	22	0.626018508669291	0.0840157868750141	0.2265275653617568
124	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	22	0.6545373049183001	0.0169446049250069	0.07028752466007669
125	KEGG_GLYCEROLIPID_METABOLISM	22	0.529551883281227	0.382250783435211	0.6125668201112557
139	IRIS_DendriticCell-Control	26	0.7741242738954408	8.082947060298339e-14	6.226756003236973e-12
140	SVM Macrophages M2	26	0.789693178433125	0.000550301937224071	0.00460078014958264
141	SVM Dendritic cells resting	26	0.980327868852459	3.7433816794549504e-09	1.0624308266558324e-07
175	REACTOME_POTASSIUM_CHANNELS	32	0.707044776119403	0.00534668215429962	0.02815737436969758
176	KEGG_NOTCH_SIGNALING_PATHWAY	32	0.6159409484044139	0.10041149658846901	0.2569247902032356
179	IRIS_Bcell-naive	34	0.6150472767723439	0.044267781688459004	0.14389191491393089
180	SVM B cells memory	34	0.631311998404865	0.0357904282902798	0.12273442579035534
181	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	34	0.8249962803154292	0.00201600874515548	0.013462943849227152
182	SIG_CD40PATHWAYMAP	34	0.6644087142077321	0.0555965563733016	0.17156190571847146
183	KEGG_PRIMARY_IMMUNODEFICIENCY	34	0.6198754218781021	0.122626028086244	0.2938724757531593
184	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	34	0.7561139278258281	0.00207430245230016	0.01368750305033638
185	ST_ERK1_ERK2_MAPK_PATHWAY	34	0.8018849206349209	0.00172806715950093	0.011870830774023906
268	KEGG_ECM_RECEPTOR_INTERACTION	54	0.5419719854443951	0.267242539794354	0.4912001970374285
278	IRIS_CD4Tcell-Th2-restimulated12hour	57	0.7786501553257591	0.0009745735152578189	0.007566409085051401
279	IRIS_MemoryTcell-RO-activated	57	0.701501815107663	0.00551464523390256	0.02873210089257928
280	Custom_Treg	57	0.9830017814726841	0.0020750178476866	0.01368750305033638
281	SVM T cells CD4 memory activated	57	0.7901885526904159	0.000279059728175087	0.0025945337658347532
282	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	57	0.589701249321021	0.0124821592229339	0.05609170300805922
283	PID_NFAT_TFPATHWAY	57	0.7372391952309979	0.00239260247646675	0.015223727261766313
284	KEGG_AUTOIMMUNE_THYROID_DISEASE	57	0.77713437268003	0.0220096702112135	0.08432479333141656
285	KEGG_ALLOGRAFT_REJECTION	57	0.998663895486936	0.00153850890563604	0.010913911867614815
286	REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	57	0.6712433744172679	0.0287382721004498	0.10383325447348446
287	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	57	0.69596992481203	0.000116784423421998	0.0012595200066062484
288	IRIS_CD8Tcell-N0	58	0.798416953912932	0.000534896698339362	0.004542410150858283
289	DMAP_GRAN3	58	0.5864437656663061	0.0463367531984088	0.14873270334667826
290	DMAP_NKA2	58	0.9320491718366919	4.58340155052524e-11	2.196977143218432e-09
291	DMAP_TCELLA1	58	0.835024370834577	1.47586616779616e-05	0.00020276709069658072
292	DMAP_TCELLA3	58	0.906698028673835	4.69904376762591e-08	1.1262041563076764e-06
293	SVM NK cells resting	58	0.771216424976329	4.6697025452071505e-05	0.0005755741937149612
294	SVM NK cells activated	58	0.8863761911338208	3.5327169672425894e-09	1.0160093997789687e-07
295	PID_IL12_STAT4PATHWAY	58	0.7762088974854929	0.00522103859355492	0.027602402564455796
296	PID_CD8TCRPATHWAY	58	0.627392862475735	0.0474230647116947	0.1515430379009266
299	DMAP_ERY5	61	0.555490240516729	0.00113823711800877	0.00854576116271883
300	SVM Neutrophils	61	0.647066813359955	0.00046858300162341506	0.004059170821291993
301	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	61	0.47533809715990505	0.765532036773505	0.9028171696667306
320	IRIS_NKcell-control	68	0.674268656716418	0.0108541072300929	0.0504575631364448
321	IRIS_Neutrophil-Resting	68	0.5992758815355219	0.000874238910171093	0.0070101610752380935
322	DMAP_ERY2	68	0.7756144617600301	6.96954125240047e-05	0.0008067783200972718
323	DMAP_MONO1	68	0.663362403785043	0.0025009721116334396	0.015636512593603855
324	SVM NK cells resting	68	0.685939602332187	0.00362677887514714	0.020750562423587214
325	SVM Mast cells resting	68	0.49856514609421604	0.506778568054257	0.7215322582792293
326	SVM Eosinophils	68	0.593783582089552	0.10853778411504902	0.2699352939255942
437	IRIS_NKcell-IL15stimulated	101	0.410051727441088	0.8287202548243109	0.9377032032613608
438	IRIS_NKcell-IL2stimulated	101	0.7689507631394091	0.0022829806799738	0.014787955936046506
439	DMAP_NKA3	101	0.8249680810492629	4.92423435780491e-05	0.0005967176129092805
440	SVM T cells follicular helper	101	0.6636689670162471	0.0151438222624123	0.06404946003926143
441	SVM NK cells activated	101	0.8155066059015791	2.7396870249063097e-06	4.5457730097868544e-05
442	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	101	0.492126018468224	0.573624032850874	0.7704277950556261
443	PID_CD8TCRDOWNSTREAMPATHWAY	101	0.611940298507463	0.0789227371052672	0.22108616095592384
569	PID_RAC1_REG_PATHWAY	135	0.6985829184220611	0.0190426118578161	0.0766323018233383
570	REACTOME_NEURONAL_SYSTEM	135	0.5749383261533929	0.044048496837708	0.14374070753242987
571	REACTOME_L1CAM_INTERACTIONS	135	0.636201397764038	0.0260151968662143	0.0962517661070742
1299	REACTOME_IRON_UPTAKE_AND_TRANSPORT	473	0.764190731368463	0.00467191757706958	0.0252564566760378
1300	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	473	0.7271664367411229	1.9310603321415102e-07	4.124056570722017e-06
1301	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	473	0.6850468680255911	0.0482004699474911	0.1533457428860447
1302	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	473	0.48482131942463597	0.580290746879717	0.7741537243352073
1303	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	473	0.8679085284031609	1.38414458301249e-05	0.000193870121140126
1304	KEGG_ARACHIDONIC_ACID_METABOLISM	473	0.506715051932573	0.47159443697877296	0.6889104405422816
1380	IRIS_NKcell-control	524	0.47762686567164203	0.6134936324678149	0.8000639451227792
1381	IRIS_Neutrophil-Resting	524	0.756817787041862	5.595606917147159e-16	5.747487676326868e-14
1382	DMAP_MONO1	524	0.6794938563660761	0.00126686232586707	0.009326355074727885
1383	DMAP_MONO2	524	0.6375776865013659	0.00497410714903844	0.02662319881011393
1384	SVM Monocytes	524	0.783756345177665	0.000120683792112479	0.0012950992019234687
1385	SVM Neutrophils	524	0.9585455632071499	2.42219230852226e-10	9.16608563067108e-09
1386	PID_IL1PATHWAY	524	0.499404496054786	0.502425778197471	0.7177035785244669
1420	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	542	0.52319856780546	0.389902317888035	0.6200841397857247
1421	KEGG_BASAL_CELL_CARCINOMA	542	0.549248919039809	0.28800005448710403	0.5121320012602499
1422	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	542	0.49158939746404107	0.564374710047608	0.7636005674058307
1511	IRIS_Neutrophil-Resting	603	0.905750607955532	8.35593610227515e-38	4.505938543151875e-35
1512	SVM Neutrophils	603	0.9797889246566971	2.8565714684899197e-11	1.4329359668680831e-09
1513	PID_IL8CXCR2_PATHWAY	603	0.810732360821673	0.0008814671428704039	0.007041943063598006
1514	PID_FCER1PATHWAY	603	0.554557682640182	0.22860909662017498	0.4404042067781261
1515	PID_RHOA_REG_PATHWAY	603	0.608811475409836	0.10317570914763499	0.26151586913213715
1516	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	603	0.7692918465584829	0.00338790745689086	0.019487243692036228
1517	KEGG_LEISHMANIA_INFECTION	603	0.644626247538869	0.0242988061937979	0.09119697034337093
1518	PID_GMCSF_PATHWAY	603	0.461434529128899	0.662502794093664	0.8376427472802069
1684	DMAP_CMP	719	0.999851632047478	0.00119763812154056	0.008909034771869764
1685	DMAP_EOS2	719	0.9889995540359742	1.29256542648378e-05	0.00018463997516063004
1686	SVM Mast cells activated	719	0.7092194052408629	0.008551606944026329	0.04154463103212792
1702	DMAP_GMP	728	0.6783170080142479	0.134212405014226	0.31398715576538555
1703	SVM Mast cells resting	728	0.677493291592129	0.0135176748855801	0.05914325502676729
1704	SVM Mast cells activated	728	0.9082104008344509	1.05653308806587e-06	1.957702716722199e-05
1760	DMAP_TCELLA1	765	0.573560131304088	0.165134546655846	0.35798514285091443
1761	SVM T cells CD8	765	0.589245597894692	0.0691592530907341	0.20051969034966569
1762	SVM NK cells resting	765	0.8910773907410179	1.10238668392443e-09	3.5490269809328287e-08
1763	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	765	0.657165597174551	0.0187210926565967	0.07619131483071524
1768	IRIS_Bcell-Memory_IgG_IgA	767	0.701353574633563	0.00200009792345237	0.01339817149343715
1769	DMAP_BASO1	767	0.6619916889284649	0.172994143627889	0.3680888836462917
1770	DMAP_PRE_BCELL3	767	0.7747834694382579	0.0251749070056598	0.09378631159103314
1771	SVM B cells naive	767	0.8161357858531479	3.26735440743895e-06	5.339154133974102e-05
1772	PID_BCR_5PATHWAY	767	0.7079477972655709	0.0010187057002674	0.007792014877577241
1789	DMAP_MONO1	787	0.7481860391215309	6.30339861002198e-06	9.642858724693198e-05
1790	SVM Monocytes	787	0.663295013436847	0.0137483871754495	0.05978885309968662
1791	SVM Eosinophils	787	0.6797611940298511	0.007647539525020241	0.03783427237492812
1792	REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	787	0.433841858610031	0.835802685709619	0.9397820648181602
1823	DMAP_TCELLA3	823	0.727994324970131	0.00175958871613163	0.012022557816864524
1824	DMAP_TCELLA7	823	0.8279223199642171	8.78524904584307e-05	0.0009921351932923302
1825	SVM T cells CD4 naive	823	0.966905615292712	1.16147270905785e-09	3.684259755055562e-08
1826	SVM T cells CD4 memory resting	823	0.9364826284161809	9.074399238514891e-11	3.693109274995588e-09
1827	SVM T cells follicular helper	823	0.7100608596424499	0.00241360521096695	0.015244897483458347
1828	SVM T cells regulatory (Tregs)	823	0.7599212284375308	0.000137093268310327	0.0014495597046341928
1829	SVM T cells gamma delta	823	0.692996559976069	0.00338235052801012	0.019487243692036228
1830	PID_CXCR4_PATHWAY	823	0.560820910277196	0.142102794432069	0.3243552672909765
1831	BIOCARTA_TCR_PATHWAY	823	0.5666846853563969	0.22267919959688898	0.4335009327892505
2013	SVM B cells naive	913	0.548545685658741	0.252543543930783	0.4704114199125206
2014	SVM Plasma cells	913	0.598813078530905	0.107717288226795	0.2687738553003254
2015	SVM Macrophages M1	913	0.5171705118005829	0.419077083151414	0.6449462497476958
2016	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	913	0.7493663336812291	0.0025474922145756	0.015835563996655817
2017	PID_IL23PATHWAY	913	0.600625186067282	0.164106062642427	0.3573953635483755
2018	KEGG_ARACHIDONIC_ACID_METABOLISM	913	0.6675038310914351	0.0393617073470695	0.13183727134724987
2051	SVM T cells CD4 naive	932	0.700462962962963	0.00502884956055166	0.026849575500272102
2052	SVM T cells CD4 memory activated	932	0.7241764793560891	0.005083020863636	0.02700511330754397
2053	SVM T cells follicular helper	932	0.755501820355377	0.000288056686923806	0.0026552917679258524
2054	BIOCARTA_TCR_PATHWAY	932	0.657657321801372	0.0352732430706396	0.12154055160282687
2055	KEGG_PRIMARY_IMMUNODEFICIENCY	932	0.504764740917213	0.481179927964564	0.6984556558678092
2056	PID_DELTANP63PATHWAY	932	0.49848884726715503	0.506508537030356	0.7215322582792293
2057	PID_CD8TCRPATHWAY	932	0.447409287740779	0.750146893775229	0.8929728752059432
2058	KEGG_HEMATOPOIETIC_CELL_LINEAGE	932	0.5764977648493139	0.123111449233665	0.2944028780454716
2097	REACTOME_AXON_GUIDANCE	958	0.569132556237699	0.0433984712927688	0.14226520148708555
2098	KEGG_AXON_GUIDANCE	958	0.6173586876528261	0.0215047787925832	0.0834378166891387
2099	DMAP_CMP	960	0.9907270029673589	0.0015432281500336199	0.010913911867614815
2100	DMAP_ERY1	960	0.7627573858549692	0.00037380894770606	0.003314104557818503
2101	DMAP_GMP	960	0.999851588008311	0.00129033850392623	0.00937124630629252
2102	DMAP_MEGA1	960	0.984306153769989	0.00017253151050404	0.0017637462945839539
2103	SVM Mast cells resting	960	0.737412418008348	0.0021080211225538398	0.013854474538620105
2104	SVM Mast cells activated	960	0.876450177746557	1.10281108145782e-05	0.00015964855722849108
2129	IRIS_Bcell-Memory_IgG_IgA	977	0.9888199222255459	2.1660722317163394e-13	1.5071670334877887e-11
2130	IRIS_Bcell-Memory_IgM	977	0.9167227372408292	3.29189769547912e-10	1.14526182728201e-08
2131	IRIS_Bcell-naive	977	0.971280965216275	2.1980014092181598e-14	1.755958903586508e-12
2132	DMAP_BCELLA3	977	0.9583694191429	2.89800561072749e-10	1.0594912037863044e-08
2133	SVM B cells naive	977	0.984534669258761	3.44483337878758e-13	2.2516683630438817e-11
2134	SVM B cells memory	977	0.9745526145256971	1.00596392232168e-12	5.864497784994226e-11
2135	KEGG_HEMATOPOIETIC_CELL_LINEAGE	977	0.475236883194661	0.6533952465926031	0.8324710849971911
2136	PID_BCR_5PATHWAY	977	0.702504258159554	0.0009147315719364789	0.0072273846178277845
