	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
SPP2	SPP2	4.68266018593498e-05	17559.0	7.70510245607204	7.70510245607204	0.0425370949927334	17093.0	96.27126281401374	0.12	0.8015103525074135	0.1751286432100204	25	39.42011984461958
CHRM2	CHRM2	5.94726203654775e-17	17558.0	7.410503413675361	-7.410503413675361	0.5074440550977221	6536.0	36.80860651120874	0.0	0.11628901351749303	0.026780387647797475	25	272.371501715651
BPIFB2	BPIFB2	2.31161329563988e-11	17557.0	7.21499930196149	7.21499930196149	0.00115518685772285	17673.0	99.53813225188689	1.0	1.402454865977822	0.15953975497494377	25	36.43320398039064
ISX	ISX	1.6988982650453503e-08	17556.0	7.21124317506412	7.21124317506412	0.13903367946445302	11210.0	63.13506815365551	0.0	0.22358719117761727	0.05701740991785174	25	122.55302361075364
HOXB9	HOXB9	7.7874349924991e-14	17555.0	7.19774477518906	7.19774477518906	0.25732022960051604	11756.0	66.21043145206714	0.0	0.23855725297527353	0.03551472989757839	25	195.95214555435226
ANKS4B	ANKS4B	7.873657155615541e-11	17554.0	7.042296306088929	7.042296306088929	0.049322016923325995	16499.0	92.92553790695054	0.0	0.6680852705549276	0.11083116732103285	25	57.512802486962016
KRTAP4.1	KRTAP4.1	2.5688080212729605e-09	17553.0	7.0194407191560195	7.0194407191560195	0.00114057476628251	17566.0	98.93545116593444	0.76	1.0983875565101895	0.15052010757988452	25	39.33729026537793
CDX2	CDX2	1.51478254274588e-09	17552.0	6.9987766040115895	6.9987766040115895	0.205442743724133	11677.0	65.76546130449476	0.0	0.23331601760316972	0.07321033852449356	25	92.41127309013793
COL11A1	COL11A1	2.4616041035288098e-20	17551.0	6.966711638784009	6.966711638784009	0.546622268962554	10229.0	57.60955277683902	0.0	0.19359520347044168	0.03820641160258358	25	177.27695826989304
ZIC4	ZIC4	2.66212323631864e-08	17550.0	6.95776901090222	6.95776901090222	0.576374933359941	8027.0	45.20671397994818	0.0	0.14383631272433337	0.057003200452507424	25	119.53596717529848
TFAP2D	TFAP2D	2.86262240748987e-05	17549.0	6.89978882360551	6.89978882360551	0.629964227835759	5387.0	30.33682550411175	0.0	0.11764433363368662	0.10393514411608565	25	65.2536208772349
SERPINA4	SERPINA4	1.71556002556553e-09	17548.0	6.8891645382426105	6.8891645382426105	0.0114531269441068	17314.0	97.51605272051368	0.32	0.9686504858389512	0.17747344439752027	25	33.359999703067594
ITLN1	ITLN1	6.6699410755296695e-22	17547.0	6.8723904096910795	-6.8723904096910795	0.12437511286383802	14165.0	79.77920468626787	0.0	0.36398995533025413	0.13469471267044053	25	48.319643179202004
UGT2B15	UGT2B15	1.6755692360863999e-12	17546.0	6.847470414396059	6.847470414396059	0.0231221858496494	17033.0	95.93331080319928	0.16	0.8280279492254463	0.1732949570539481	25	34.73524312249151
CEACAM7	CEACAM7	1.0015254046098698e-15	17545.0	6.79972256454565	6.79972256454565	0.0101704664691919	17619.0	99.23397544215388	0.84	1.2308320172169682	0.21430880163180138	25	25.985356200612113
HOXC10	HOXC10	8.25035683529826e-14	17544.0	6.74008829483287	6.74008829483287	0.0055434127081196395	17389.0	97.93849273403175	0.44	0.9605658614697	0.21812497959137553	25	26.49638039710188
LY6D	LY6D	2.51870309853871e-23	17543.0	6.736489260028581	6.736489260028581	0.00584907769133209	17639.0	99.34662611242537	0.96	1.2953074181739819	0.22513456014605432	25	24.168576509642385
TRPM8	TRPM8	2.74510008070621e-09	17542.0	6.73250207990566	6.73250207990566	0.376848482210579	2952.0	16.62160639855807	0.0	0.05546899325126886	0.024066955789033808	25	277.435714977164
DMRTA2	DMRTA2	2.0197278433893596e-17	17541.0	6.71483785765486	6.71483785765486	0.44410486582561104	3204.0	18.041004843978822	0.0	0.06130281792529168	0.04490186843170677	25	148.17946941003632
FUT9	FUT9	1.17399867143288e-10	17540.0	6.71440830630221	6.71440830630221	0.681526766589341	8412.0	47.37523938267432	0.0	0.15187421067194204	0.05063184821613048	25	129.61276996283044
GLB1L3	GLB1L3	2.58858947578048e-24	17539.0	6.662787421871071	6.662787421871071	3.07041093697248e-08	13899.0	78.28095077165709	0.0	0.3495679506721636	0.06961753672370287	25	90.68432708635939
CALML5	CALML5	4.76268214621575e-06	17538.0	6.51183352272417	6.51183352272417	0.0259987067890338	17533.0	98.74957755998648	0.68	1.0763279692060346	0.18958143417411655	25	28.671085737889424
CLDN10.AS1	CLDN10.AS1	5.43582146669377e-06	17537.0	6.36573603476743	6.36573603476743	0.0035832813313939997	17581.0	99.01993916863805	0.68	1.133281132569965	0.2057238770570106	25	25.434358797094987
KRT75	KRT75	1.4111943640325e-09	17536.0	6.3457780599620595	6.3457780599620595	0.15008353631433402	12800.0	72.09079644023882	0.0	0.279025645877562	0.06908430853799086	25	87.8166481285438
SLC28A2	SLC28A2	8.43878192957822e-14	17535.0	6.34135953837976	6.34135953837976	0.37335562865098404	12464.0	70.19826517967782	0.0	0.26249627304589734	0.11833012548216028	25	51.37206810661522
SLC6A4	SLC6A4	5.64151383347558e-16	17534.0	6.319224181300191	-6.319224181300191	5.39102271170742e-05	13786.0	77.64447448462317	0.0	0.32852558870194615	0.08857300061481256	25	67.63571913579709
GCNT3	GCNT3	1.6621128212687e-24	17533.0	6.29144969860924	6.29144969860924	0.0279245015089785	17002.0	95.75870226427847	0.04	0.7802765312326129	0.13099123362414344	25	42.07283964658261
SPINK1	SPINK1	2.27393447445898e-10	17532.0	6.24804733607908	6.24804733607908	0.00423828184692318	17322.0	97.56111298862227	0.24	0.9284585914546334	0.14491164590013725	25	36.709187253937664
IBSP	IBSP	3.2231733029309e-16	17531.0	6.21612031447505	6.21612031447505	0.735684215667718	1378.0	7.755998648191957	0.0	0.0416162122040916	0.030585022284999056	25	201.87999357121112
TINAG	TINAG	0.000300787942199405	17530.0	6.187453153913269	6.187453153913269	0.352768456384157	10519.0	59.242987495775594	0.0	0.21125876971429208	0.06820995981919144	25	87.61468852995168
HABP2	HABP2	2.12640489552491e-30	17529.0	6.16846093873775	6.16846093873775	0.159280723469466	13378.0	75.34640081108482	0.0	0.3120981937620386	0.13340125391229224	25	43.900357554555775
ZPLD1	ZPLD1	5.39936490698083e-13	17528.0	6.15769295935688	6.15769295935688	0.000235285440819896	17518.0	98.66508955728285	0.56	0.9946274656113616	0.11892364952174653	25	43.414960056379655
PADI1	PADI1	1.27243041101866e-23	17527.0	6.15289754295362	6.15289754295362	0.0205289177941654	16954.0	95.4883406556269	0.0	0.7939177777406309	0.09566733633474539	25	56.01681797078177
LINC00491	LINC00491	8.27101045865669e-11	17526.0	5.98880321944799	5.98880321944799	0.0210134021030488	10745.0	60.51594006984341	0.0	0.20809292064945167	0.06264151317123032	25	92.28241793899504
UNC93A	UNC93A	3.11094958250069e-07	17525.0	5.983805756755969	5.983805756755969	0.11544300489076	5795.0	32.634899177650105	0.0	0.11598851894717148	0.06824622249601174	25	85.98010297422262
SPRR1A	SPRR1A	0.00859678418522055	17524.0	5.971094636099339	5.971094636099339	0.00560754190059872	17650.0	99.40858398107468	0.88	1.2715983409956506	0.21576933576984011	25	21.78018613412526
ABCA12	ABCA12	1.53860161824445e-45	17523.0	5.96277211621576	5.96277211621576	0.176535481337719	2399.0	13.506815365551423	0.0	0.07118999610428356	0.06789846359589483	25	86.77047768232099
B3GNT6	B3GNT6	1.66180766499425e-12	17522.0	5.90045453557095	5.90045453557095	0.0987202932980007	16346.0	92.06376027937365	0.0	0.5932534211711857	0.11524163331072503	25	46.05281062001268
MUC3A	MUC3A	3.28003212616669e-21	17521.0	5.89991900444159	5.89991900444159	0.24965192349628798	13441.0	75.70125042244001	0.0	0.32657011938239294	0.08123431850322549	25	68.60830481193612
KLK6	KLK6	4.4102668300901e-09	17520.0	5.8735215367767095	5.8735215367767095	0.000609528856425062	16815.0	94.70541849724005	0.0	0.7120369400401613	0.10682915256968438	25	48.31531911076169
SALL1	SALL1	9.613423557172491e-11	17519.0	5.859326322660809	5.859326322660809	0.36944312134657303	9346.0	52.636025684352816	0.0	0.17391105671875232	0.020129114183612497	25	282.44736524822656
EEF1A2	EEF1A2	2.38890708648536e-15	17518.0	5.859262489989099	5.859262489989099	0.580268841891369	6957.0	39.17990312042356	0.0	0.1237889425626337	0.07749033056242594	25	74.01534495721359
BBOX1.AS1	BBOX1.AS1	1.84348194707486e-12	17517.0	5.8576352248459	5.8576352248459	0.00103466866354999	14843.0	83.59806240847132	0.0	0.42725102725323083	0.06631950545552427	25	81.88215759893502
TMPRSS11E	TMPRSS11E	1.0867562651923201e-17	17516.0	5.852794047720639	5.852794047720639	0.0035348268401239297	17654.0	99.43111411512898	0.92	1.3061194836846952	0.194064032196241	25	23.428733869851094
SLCO6A1	SLCO6A1	1.73609989410934e-09	17515.0	5.84127585232854	5.84127585232854	0.208176571045094	7816.0	44.018249408583976	0.0	0.17847521613927875	0.13637529893777217	25	41.52365333236181
NRAP	NRAP	5.1822358341620297e-20	17514.0	5.81485106350473	5.81485106350473	0.0581664558192759	12538.0	70.61507265968233	0.0	0.2790531581580418	0.08950480409184533	25	61.84917068435937
HOXA13	HOXA13	2.20914362480935e-05	17513.0	5.793405805737191	5.793405805737191	0.00413835197481096	16233.0	91.42728399233975	0.0	0.6153343266479093	0.0963886826440724	25	53.72074124313926
BARX1	BARX1	7.58830700462017e-10	17512.0	5.76261517068243	5.76261517068243	0.000228117151718959	12459.0	70.17010251210995	0.0	0.28971019484772226	0.0650317787285398	25	84.15739324431047
MNX1.AS1	MNX1.AS1	1.77799575029356e-14	17511.0	5.761036338631951	5.761036338631951	0.00341948034288047	11202.0	63.09000788554692	0.0	0.23443518925963314	0.06822932937877561	25	81.0003732953515
GLYATL2	GLYATL2	4.04777195306351e-06	17510.0	5.73222788500216	5.73222788500216	0.0144088485630327	16295.0	91.77650107018137	0.0	0.6344768281406126	0.11035915002543964	25	46.19237331645297
C11orf86	C11orf86	1.20481605370287e-06	17509.0	5.6499345919831105	5.6499345919831105	0.0879688760881769	12945.0	72.9075137997071	0.0	0.2925226311557846	0.07962234628605122	25	67.28528121465159
SYT12	SYT12	1.4251863819115802e-17	17508.0	5.613193007216231	5.613193007216231	0.12402588025035301	8829.0	49.72400585783485	0.0	0.1588881351322319	0.06656846274665872	25	81.93526854963717
CA10	CA10	4.1489323428831205e-13	17507.0	5.6002529173200895	5.6002529173200895	0.894412174917395	2920.0	16.44136532612369	0.0	0.0549419899535327	0.028525298835418947	25	194.39974877602762
FCN3	FCN3	9.30873057073454e-28	17506.0	5.583570972335139	-5.583570972335139	0.7389647171670141	6189.0	34.85411738199842	0.0	0.10551401579391101	0.06353001448730165	25	86.22785624637595
LINC01395	LINC01395	8.077471857255709e-06	17505.0	5.5820943369353495	5.5820943369353495	0.0202941968139728	16643.0	93.73662273290526	0.04	0.731961517936738	0.29993782199442687	25	16.170460886685813
COL10A1	COL10A1	7.800209532607819e-26	17504.0	5.541466121490929	5.541466121490929	0.237504546600818	3871.0	21.79790469753295	0.0	0.07017505314966904	0.034127551465036716	25	160.3188870419413
CLEC4M	CLEC4M	1.32499343977093e-12	17503.0	5.5105018487324	-5.5105018487324	0.6445844083609089	6547.0	36.87056437985806	0.0	0.12638479601219613	0.07484377510977246	25	71.9380742730225
LY6G6E	LY6G6E	1.2507748660460899e-06	17502.0	5.509303306685609	-5.509303306685609	0.000513455121715709	14325.0	80.68041004843978	0.0	0.38921494580176313	0.08059075479696634	25	63.53195690725285
MUC5AC	MUC5AC	1.28667869620682e-06	17501.0	5.485422768529191	5.485422768529191	0.00111940872609903	17725.0	99.83102399459275	1.0	1.8816073658709123	0.27057214731781354	25	13.31924013015739
PRAC2	PRAC2	6.669923021066751e-05	17500.0	5.474135683165519	5.474135683165519	0.00551728885319531	17299.0	97.43156471781006	0.24	0.9059461819570369	0.1272408857924859	25	35.9018995565516
FAM83A	FAM83A	4.41268970337095e-18	17499.0	5.46908927801422	5.46908927801422	5.2823274704257104e-06	16713.0	94.13090007885546	0.0	0.6840344694258563	0.08696340039820043	25	55.02377766598215
UBE2U	UBE2U	4.03195308628564e-06	17498.0	5.45071491740517	5.45071491740517	0.0146547336728018	13692.0	77.11501633434719	0.0	0.34826865046215205	0.061403609184132193	25	83.096846174664
SERTM1	SERTM1	2.51507211832721e-40	17497.0	5.43134054666466	-5.43134054666466	0.44558610451665903	4274.0	24.067815703503435	0.0	0.07702250203353525	0.05209953465856685	25	102.77093796941816
PLAC1	PLAC1	2.18783621751067e-08	17496.0	5.4278689092481605	5.4278689092481605	0.7280940869070591	2129.0	11.986031316886335	0.0	0.05684799141462021	0.04663292048896166	25	115.17659330611514
CA4	CA4	1.0296690122390998e-34	17495.0	5.417339296154441	-5.417339296154441	0.448220256954831	8493.0	47.831474597273846	0.0	0.15752396631476723	0.08587093511985575	25	61.2525684330583
CEACAM5	CEACAM5	3.09515019084781e-26	17494.0	5.38570057602924	5.38570057602924	0.00326847797547947	17690.0	99.63388532161765	0.96	1.4903360106785468	0.2719100687921261	25	14.325929829132882
SPP1	SPP1	2.02986367335166e-13	17493.0	5.35390547773473	5.35390547773473	3.50092082439292e-06	15512.0	87.3662273290526	0.0	0.48032870781257053	0.10671531246382561	25	45.668954692647375
PDX1	PDX1	3.11589738677292e-06	17492.0	5.34022201781641	5.34022201781641	0.18760038199704104	6117.0	34.44857496902106	0.0	0.10978064285524834	0.05650562288081825	25	92.56497156032096
COL2A1	COL2A1	3.14434802107462e-13	17491.0	5.3339904654528	5.3339904654528	0.6090627607447789	7254.0	40.85276557395516	0.0	0.12292007315630757	0.05113276305880625	25	101.91255235519735
IL1RAPL2	IL1RAPL2	4.10191240708133e-09	17490.0	5.31702393291195	5.31702393291195	0.00036507015068976297	15036.0	84.68514137659119	0.0	0.45738737849134176	0.11607147798237485	25	41.867620184508475
KRT24	KRT24	1.08910100580741e-05	17489.0	5.31579109820003	5.31579109820003	0.0013799783572856401	17687.0	99.61698772107694	1.0	1.4524296184335155	0.22398382833663116	25	17.248394709818815
TMPRSS4	TMPRSS4	1.7744485369406799e-25	17488.0	5.25543837063029	5.25543837063029	0.000138252204315955	17722.0	99.81412639405204	1.0	1.82643811601522	0.23296167685430078	25	14.71916025381136
EFNA2	EFNA2	1.3413171792931799e-08	17487.0	5.2548484824017105	5.2548484824017105	0.676959332287903	2569.0	14.464346062859073	0.0	0.06637780373909452	0.059543677354991185	25	87.13722277731807
MOGAT2	MOGAT2	4.28429552534427e-09	17486.0	5.254514708590559	5.254514708590559	0.323727724761694	13449.0	75.7463106905486	0.0	0.3581912680423979	0.15052617193070292	25	32.5280539440162
LINC01082	LINC01082	8.59156053623986e-11	17485.0	5.20647749319008	-5.20647749319008	0.208096922973475	13230.0	74.5127858510758	0.0	0.29189718927843356	0.09789514747586078	25	50.20249144753059
IGF2BP1	IGF2BP1	3.2057799649792103e-09	17484.0	5.18458523361856	5.18458523361856	0.7727112659384989	3449.0	19.420975554804553	0.0	0.0606039635885306	0.04045522016961392	25	126.65809872117994
CLDN6	CLDN6	2.2523656599299104e-08	17483.0	5.15660617881836	5.15660617881836	0.734627975170748	6166.0	34.724569111186206	0.0	0.10716128896878482	0.040612737992329034	25	124.33155555292329
ATP10B	ATP10B	4.0315584814056294e-30	17482.0	5.13867651412317	5.13867651412317	0.19485929232951701	14482.0	81.56471781007096	0.0	0.4044139809858015	0.11618190173942819	25	40.748709241783054
SOSTDC1	SOSTDC1	2.65323459784887e-12	17481.0	5.11107598927621	-5.11107598927621	0.16421491761588097	2363.0	13.304044159062745	0.0	0.06196668641801782	0.04594605596851439	25	109.89211579592843
CRABP1	CRABP1	0.00063737826791148	17480.0	5.1108515301281905	5.1108515301281905	0.41469404523115	8380.0	47.19499831023994	0.0	0.156749550786953	0.02984707661476276	25	165.98282114138013
TAS2R38	TAS2R38	9.74366299095143e-05	17479.0	5.104356908906309	5.104356908906309	0.032699558238155	13866.0	78.09507716570913	0.0	0.3790234976678499	0.145978778180048	25	32.37000247673196
CSF3	CSF3	2.07530174843413e-25	17478.0	5.09558857992112	-5.09558857992112	0.21079940114652498	5672.0	31.942097555480455	0.0	0.09210625345308164	0.038252115069219134	25	130.80276260316546
SCGB3A1	SCGB3A1	1.83566525437214e-09	17477.0	5.08550599910559	5.08550599910559	0.0169299226233498	17521.0	98.68198715782358	0.64	1.244852091416622	0.6215846720154918	25	6.178810515445347
LINC00461	LINC00461	2.7060201207485197e-09	17476.0	5.08286174698113	5.08286174698113	2.2445924584474397e-07	15685.0	88.34065562690097	0.0	0.5084482970698778	0.06710701706019002	25	68.16594821683613
TMEM100	TMEM100	2.36156283113049e-26	17475.0	5.06493900814413	-5.06493900814413	0.42942594762497405	2303.0	12.966092148248281	0.0	0.05030433506376398	0.040296287436251244	25	124.444086344518
KIF1A	KIF1A	1.3971917639686401e-09	17474.0	5.058074549972719	5.058074549972719	0.920577210785521	1627.0	9.158499493071982	0.0	0.047934026069392795	0.03598983804495461	25	139.2098657861478
SLCO1B1	SLCO1B1	0.0156713111000938	17473.0	5.0528780538019005	5.0528780538019005	0.0140450213740565	17426.0	98.14689647403401	0.44	0.953353001818301	0.17918135553879805	25	22.879194320504688
OFCC1	OFCC1	0.00307026335188691	17472.0	5.0399458446994005	5.0399458446994005	0.0121544471060217	11709.0	65.94570237692913	0.0	0.2486478584097268	0.0846174020769673	25	56.62308069835976
TM4SF4	TM4SF4	3.8054267285502004e-08	17471.0	5.03250393413039	5.03250393413039	0.0146635802830549	16819.0	94.72794863129435	0.08	0.7557292229817792	0.14633426249327708	25	29.226065299267116
MNX1	MNX1	4.87815171065529e-44	17470.0	5.00252292932958	5.00252292932958	0.0034895211858538603	14809.0	83.4065562690098	0.0	0.42456221535070954	0.058238654135898696	25	78.60691119846784
SSX5	SSX5	1.51590511878699e-05	17469.0	4.94493049592757	4.94493049592757	1.04681972602286e-06	16460.0	92.70586909992114	0.0	0.6171253656978406	0.08198496655661278	25	52.787789176461594
IL36RN	IL36RN	2.90407056895924e-05	17468.0	4.911465627631481	4.911465627631481	0.00249158820233816	17685.0	99.60572265404979	1.0	1.4688706527369042	0.2059300957378896	25	16.717298957974332
TFF2	TFF2	0.0210355292573749	17467.0	4.905505715980531	4.905505715980531	0.00058367416917808	17723.0	99.81975892756562	1.0	1.9050088446102322	0.28237582340577094	25	10.625898616889087
LGALS4	LGALS4	1.13165917622342e-08	17466.0	4.90319755301156	4.90319755301156	0.155647436148963	15995.0	90.08674101610904	0.0	0.5502566753646221	0.1237140848995016	25	35.18549145946497
MMP11	MMP11	5.5212377799429e-16	17465.0	4.90265730691056	4.90265730691056	0.796787262963303	1011.0	5.68885884871015	0.0	0.05235857811801153	0.04039489897366584	25	120.07205988940696
CD300LG	CD300LG	9.748314125158999e-45	17464.0	4.8879955690445	-4.8879955690445	0.00027899719903025697	11666.0	65.70350343584543	0.0	0.2415005561616827	0.05443433347729933	25	85.35963822943727
XDH	XDH	7.687982924339219e-48	17463.0	4.883826020316531	4.883826020316531	0.0218943671954669	17576.0	98.99177650107018	0.64	1.1174258602678508	0.21592290753256843	25	17.443263445684106
FENDRR	FENDRR	7.5644674400906594e-31	17462.0	4.877999446608991	-4.877999446608991	0.17785822685963898	2762.0	15.551425030978933	0.0	0.06043916682111084	0.03945666908893255	25	122.09749051369334
SLC10A2	SLC10A2	1.91228639789248e-05	17461.0	4.8652033770651695	4.8652033770651695	0.8617347458316948	3803.0	21.41489241860989	0.0	0.089445137332733	0.07343856597396853	25	65.03065761694312
ZIC1	ZIC1	1.84100150861351e-05	17460.0	4.84281141504716	4.84281141504716	0.581611801420924	1363.0	7.671510645488341	0.0	0.04326326661887288	0.02606522301784325	25	184.13608604625026
GABRA3	GABRA3	6.47337438888029e-06	17459.0	4.8366345100847195	4.8366345100847195	2.2543327891982603e-05	9935.0	55.95358792384814	0.0	0.203941122007257	0.06822495316006653	25	67.90321097338727
AOC1	AOC1	1.02313829135865e-19	17458.0	4.83026334570426	4.83026334570426	0.454986168573557	11565.0	65.13461755097443	0.0	0.23983014499631902	0.07883660539091183	25	58.22717984806991
NR2E1	NR2E1	0.0014202455342996801	17457.0	4.81107597244541	4.81107597244541	0.912599663045185	795.0	4.4722316097780785	0.0	0.046075416730423695	0.030970311267312436	25	153.8570443992986
ANKRD1	ANKRD1	1.5897397108668799e-22	17456.0	4.7990899591571505	-4.7990899591571505	0.177606876062008	12232.0	68.89151740452856	0.0	0.2544220246016124	0.06102429687716467	25	74.47308968923419
SLC44A5	SLC44A5	1.48942392009606e-19	17455.0	4.79288591817603	4.79288591817603	1.3754886009745801e-05	8767.0	49.37478877999324	0.0	0.1636784997403958	0.07149202546485102	25	64.75138154690525
HOXA11.AS	HOXA11.AS	6.78477194064632e-06	17454.0	4.785291051609639	4.785291051609639	0.00416117652501835	16973.0	95.59535879238481	0.04	0.7931550965697255	0.09609919054882864	25	41.54182706681055
LCT	LCT	2.38475261302043e-09	17453.0	4.7834498169755	4.7834498169755	0.6857285090431451	4807.0	27.069956066238593	0.0	0.09960665648494942	0.053093928568958296	25	88.21805593848991
VSX1	VSX1	2.1416793050613e-09	17452.0	4.77820789910314	4.77820789910314	0.136201396845842	5022.0	28.280950771657093	0.0	0.09459927570215337	0.057606297469477256	25	81.3037606848904
MAP7D2	MAP7D2	1.3121341955031697e-21	17451.0	4.7677686833073	4.7677686833073	0.8163767969601999	4907.0	27.633209417596035	0.0	0.08147892741097781	0.03652036274566697	25	128.31991260690134
DMRTC2	DMRTC2	1.19700639955308e-05	17450.0	4.7607926725672	4.7607926725672	0.0439077232519669	15312.0	86.23972062633771	0.0	0.45389049042288904	0.13178096320239122	25	32.68227881693127
IL37	IL37	1.44718554838067e-09	17449.0	4.74008456268672	4.74008456268672	0.0177564860196859	17431.0	98.17505914160189	0.48	0.991277982147757	0.21610926728091218	25	17.34681084113821
COMP	COMP	5.512014909322731e-12	17448.0	4.72556141169903	4.72556141169903	0.608770028476218	6107.0	34.39224963388532	0.0	0.12170137884236862	0.08182232969265711	25	56.26654789896334
AKR1B10	AKR1B10	1.60194123613792e-08	17447.0	4.72157418802416	4.72157418802416	0.0148772114961946	15873.0	89.39957192745297	0.0	0.5541346132125315	0.12479969905262675	25	33.3930258361782
LGSN	LGSN	7.06150031988951e-26	17446.0	4.67365523014552	4.67365523014552	0.039208049410827	12391.0	69.78709023318689	0.0	0.27063240507520847	0.08502967346360325	25	51.782191389397894
KCNK2	KCNK2	1.48604424882244e-16	17445.0	4.66554042095785	4.66554042095785	0.7941417295773608	3647.0	20.536217190492284	0.0	0.06874291236223358	0.05146007014886078	25	89.32746292996222
FOXD3.AS1	FOXD3.AS1	5.17735579234124e-07	17444.0	4.65192615932024	4.65192615932024	0.223556141287659	8019.0	45.161653711839584	0.0	0.15259388053564574	0.052297505648651176	25	86.03340107676127
CASP14	CASP14	0.00608583905580707	17443.0	4.65026721336478	4.65026721336478	0.0106219919849857	17373.0	97.84837219781457	0.4	0.956673333811558	0.15024839410302132	25	24.583250300969098
GRIN2A	GRIN2A	6.863609551145381e-07	17442.0	4.6500991151751	4.6500991151751	0.8254755341759961	3893.0	21.921820434831588	0.0	0.07534445251345868	0.0392389331265256	25	116.58713166105673
PLPP4	PLPP4	2.99776130529137e-15	17441.0	4.63824156618625	4.63824156618625	0.41592505974182004	2005.0	11.287597161203108	0.0	0.05691409432038348	0.050190220737404576	25	91.27928517858865
TCN1	TCN1	1.02755806555679e-06	17440.0	4.6276376081428	4.6276376081428	0.027499563737289998	16918.0	95.28556944913822	0.2	0.8016496922074373	0.2093341106421171	25	18.276944470251046
ADAM2	ADAM2	0.0200706417634065	17439.0	4.61771805972179	4.61771805972179	0.00790984766587772	16395.0	92.3397544215388	0.0	0.6175094566233297	0.09275056248691983	25	43.128672170183236
IL6	IL6	2.6334810598492993e-34	17438.0	4.61437012010459	-4.61437012010459	5.84700597441823e-07	15427.0	86.88746198039878	0.0	0.4776110657091368	0.1132660219651034	25	36.522506773213635
LINC01561	LINC01561	1.09239480028412e-05	17437.0	4.5922327179541105	4.5922327179541105	0.741834483906862	3298.0	18.570462994254818	0.0	0.07392230895552628	0.07250822096426368	25	62.31445688379905
SMPX	SMPX	1.0290846577568401e-05	17436.0	4.570598119078441	4.570598119078441	0.38639852883457	6557.0	36.9268897149938	0.0	0.12275557236102913	0.07962952695761129	25	55.856699350796156
LINC01096	LINC01096	0.000889139267697488	17435.0	4.560173801095679	4.560173801095679	0.341819106756867	7711.0	43.42683338965866	0.0	0.12526149963277605	0.0789343773901474	25	56.184801199388055
NXPH1	NXPH1	0.000248553178169296	17434.0	4.55626970384508	4.55626970384508	0.842807800140039	485.0	2.726146220570012	0.0	0.031487280117684986	0.021018209605645922	25	215.27915596159752
TFF1	TFF1	3.12222903508641e-06	17433.0	4.537682964936679	4.537682964936679	0.000774242198532508	17689.0	99.62825278810408	0.92	1.3930606814741977	0.2694170201221509	25	11.671951096618699
LINC00858	LINC00858	2.12506378264952e-11	17432.0	4.53641915768427	4.53641915768427	6.246004916413491e-06	13599.0	76.59119071758477	0.0	0.3400767205348489	0.06490659812732394	25	64.65201625445955
DMBX1	DMBX1	1.7205752737934e-11	17431.0	4.5330213666074	4.5330213666074	0.472711150582789	3860.0	21.735946828883634	0.0	0.06240000438862558	0.03755476746813973	25	119.04271184774363
