pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	0.22610400784360807	24.5	0.22610400784360807	0.36855203368552	34.0	0.4646257641108338	0.40993299750116047	25	0.5818554683843193
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	0.22610400784360807	24.5	0.22610400784360807	0.0373629303736293	44.0	0.18133164728392934	0.3029731640867285	25	0.14777665439326595
HALLMARK_COAGULATION	HALLMARK_COAGULATION	0.22941990612588758	23.0	0.22941990612588758	0.0391960803919608	43.0	0.18066865268623108	0.2852551438302262	25	0.17090402923170958
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	0.2936488687155677	21.0	0.2936488687155677	1.0	2.0	0.7574745147370415	0.3822795537215348	24	1.2133153382284732
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	0.2936488687155677	21.0	0.2936488687155677	0.915321530266692	12.0	0.6838374665425342	0.3819273860774691	25	1.0216303204500283
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	0.2936488687155677	21.0	0.2936488687155677	0.7341120994534351	17.0	0.6489526412548519	0.3342253756754051	25	1.0630664168490607
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	0.3179246745195288	19.0	0.3179246745195288	0.345205018102214	35.0	0.5168177671411219	0.447547076504295	21	0.4444070871272564
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	0.34714981415831503	18.0	0.34714981415831503	0.682447945530837	20.0	0.6051386092173833	0.389703862947689	25	0.6620124140101192
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3511295822676897	17.0	0.3511295822676897	0.344692803446928	36.0	0.4500963170879042	0.4122498459279102	23	0.24006494070957335
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.35484961135518756	16.0	0.35484961135518756	0.999900009999	5.5	0.8180169419753035	0.312363069093056	25	1.4827851831681609
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	0.3906143437815424	15.0	0.3906143437815424	0.78125	13.5	0.5473804118556178	0.4545950602721751	21	0.3448477156355734
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4351190736928176	14.0	0.4351190736928176	0.78125	13.5	0.6051485859048826	0.4250873393611984	25	0.3999872413692149
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5229274903998193	13.0	0.5229274903998193	0.007173255362235345	48.0	0.18844450024432646	0.376707285220645	24	0.8879121887955511
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	0.5756067821839013	12.0	0.5756067821839013	0.0576710816777042	42.0	0.2658977074582038	0.3580081901376101	25	0.8650893562145952
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.6180742737346511	11.0	0.6180742737346511	0.999900009999	5.5	0.8625431840638447	0.2137734790795347	25	1.1435885844297768
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	0.6937237367468708	10.0	0.6937237367468708	0.76814177852349	16.0	0.597235314784542	0.39927109218657564	18	0.2416614271619763
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	0.70340472146864	9.0	0.70340472146864	0.615897601376788	23.0	0.5416354927114431	0.3294228545453413	25	0.4910686266150705
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	0.8984584492198705	7.5	0.8984584492198705	0.999055118110236	10.0	0.7188928058007253	0.38316239690663767	25	0.46864109022394124
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	0.8984584492198705	7.5	0.8984584492198705	0.7108749846969495	18.0	0.5786229724802129	0.43465430599101035	22	0.7358387397323347
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	0.9230754643033238	5.5	0.9230754643033238	0.5459924051167866	28.0	0.5180156746601065	0.42623901516844115	24	0.9503113868709221
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.9230754643033238	5.5	0.9230754643033238	1.0	2.0	0.7721084860461073	0.3668168588802776	19	0.41155954150539575
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.9997312911460433	2.5	0.9997312911460433	1.0	2.0	0.9768721396391039	0.09661138429541753	25	0.2366092947911901
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	0.9997312911460433	2.5	0.9997312911460433	0.9992670157068059	8.0	0.7409249831968612	0.3808695980169133	21	0.6795142203439649
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	0.9997312911460433	2.5	0.9997312911460433	0.638203804172555	22.0	0.5633100827801124	0.45063028353846174	22	0.9684684414439313
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.9997312911460433	2.5	0.9997312911460433	0.6028730247163695	24.0	0.5455322084802208	0.43708380175632927	18	1.0391578933850194
