	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
KRT14	KRT14	2.7640468783805196e-10	16237.0	4.404828369375339	0.07295898187998251	17529.0	5.970680341601846	4.950077508736063	24	0.3163287785823633
BAHCC1	BAHCC1	1.9569268747952598e-22	16236.0	4.40104373628314	0.0793594561579082	14677.0	2.5281716695598013	1.8257591440563092	25	1.025804566183006
IFIT2	IFIT2	1.37909181037228e-29	16235.0	4.39605113748938	0.463448920252837	8849.0	1.2555607523706422	2.1838485789756903	25	1.4380531761005837
KMO	KMO	0.0255323626901891	16234.0	4.37645959708106	0.4634838317135975	8352.0	1.2248703193287056	2.451717523460194	25	1.2854618232301114
GDPD2	GDPD2	6.03211934784674e-18	16233.0	4.34447843319723	0.0652288754132677	15556.0	2.289518507176111	2.439825283291053	24	0.8422570009804989
CCL5	CCL5	2.14466953062151e-19	16232.0	4.33526617792413	0.19756974724037804	16228.0	3.9956108411821436	4.278022388285079	25	0.07939540888614743
ANKRD1	ANKRD1	0.014838623110545	16231.0	4.32733397696835	0.37928344677295794	14902.0	3.45877395373566	4.1831480353712145	24	0.20763310690619954
SPANXA2.OT1	SPANXA2.OT1	0.140764107055142	16230.0	4.27046466546696	0.3104681532941925	10639.0	1.24879831924444	2.479940487422609	19	1.2184430882706079
LINC00051	LINC00051	0.12786991894678398	16229.0	4.22836026987365	0.004066669417719525	17752.0	11.191727802127593	9.043493709874406	24	0.7699864405999182
CYP3A7	CYP3A7	0.0359624765168048	16228.0	4.2132862874914405	0.0429711592017117	15996.0	3.31341479719183	4.370952888661329	23	0.20587535789597805
PCDHB3	PCDHB3	0.000223081266931335	16227.0	4.21038737582895	0.6195179057571893	8136.0	1.0955782186389993	1.5897719660425436	25	1.9592804652001243
ADAMTS12	ADAMTS12	5.5567822263048705e-15	16226.0	4.20202857958265	0.299999223588276	10889.0	1.334879055924369	2.3950393580870943	25	1.1971200030500786
ONECUT3	ONECUT3	1.4363828149474702e-14	16225.0	4.19525120838124	0.0409766844893569	16572.0	3.0382134956909423	4.1917578601027365	25	0.27602684871256844
DHX58	DHX58	3.0986551005615503e-07	16224.0	4.19472509795731	0.1176238736200575	10746.0	1.964345300429117	2.0129905635933527	25	1.1079931708903705
DPEP1	DPEP1	0.0439141710111258	16223.0	4.18294873058249	0.0609503833438417	17023.0	3.284046213205991	2.7113987751568205	25	0.33152722705811094
SHC3	SHC3	8.54689584130853e-20	16222.0	4.13223623571926	0.238764078044186	12493.0	1.6030423485436907	1.9444125579904816	25	1.3007496154979834
GSDMC	GSDMC	4.8322610351415505e-29	16221.0	4.10456614452367	0.2079940794721485	14892.0	2.4280413213749426	2.031732140635807	23	0.8251702031076193
IL1RAPL2	IL1RAPL2	8.07703110143037e-21	16220.0	4.05005211807751	0.5119206151750121	11320.0	1.00485548689538	2.094127372818951	20	1.4541601770301698
VGLL1	VGLL1	6.629408527498889e-22	16219.0	4.01275379070636	0.06787026566551821	16911.0	3.889435456292353	3.5423285387343375	23	0.034812788555764
DUSP4	DUSP4	5.931806272085449e-22	16218.0	4.00943837654147	0.0570217093741498	11353.0	1.8773027542342675	2.1377045820615064	25	0.997394888049062
SLIT2	SLIT2	5.528703633500861e-13	16217.0	4.00394814173096	0.3139769615469615	11625.0	1.8398913262441148	2.387065582460584	25	0.9065761876789903
CYP4F12	CYP4F12	0.0593239407595129	16216.0	3.99966981289037	0.0611972805032269	16877.0	3.8586718075518864	3.4959008760628145	25	0.0403323807902928
ZNF709	ZNF709	6.55797907845447e-08	16215.0	3.9886238742146802	0.3481094736801445	2037.0	-0.15513425297806968	1.5729334016984986	25	2.6344142242247517
PIK3R6	PIK3R6	0.156950882610502	16214.0	3.96978330729669	0.17590860140713	16336.0	2.8313258242140473	2.199624250741011	25	0.5175690723991238
PI16	PI16	0.000208720894322828	16213.0	3.96572884629306	0.15472968072653698	14333.0	2.175619551960325	2.5141155951415617	24	0.7120234637548317
MAF	MAF	1.15200103367301e-12	16212.0	3.96175698499183	0.7166521367361469	8981.0	1.340584208979036	1.858943384816065	25	1.4100336768847581
HES5	HES5	0.0864138324011761	16211.0	3.91439317650522	0.4519712674026665	12793.0	1.087889762468687	2.6136955783610794	24	1.081420283768814
FCAMR	FCAMR	0.19524966446694897	16210.0	3.88331631514925	0.1829509140803135	14855.0	1.9973274823683285	2.903998486133544	23	0.6494455289100285
MSMB	MSMB	0.0739088319188203	16209.0	3.8801779535588397	0.09154303213233425	16777.0	3.614256401587835	3.9222334777188728	22	0.06779850141039068
MMP28	MMP28	2.78148557916477e-15	16208.0	3.87847305390351	0.16563350339702698	15180.0	3.0840609667845538	1.9749537328955868	24	0.40224339126883024
PCDHB10	PCDHB10	9.609325776230709e-11	16207.0	3.8677636987966095	0.167790026367974	10854.0	1.2050433671170753	1.4770459560737348	25	1.802733571511576
ADRA1D	ADRA1D	1.37632651554852e-09	16206.0	3.86543072736762	0.0796642955686797	13792.0	2.425699816356389	1.9535294659845328	23	0.7369896057777866
PCED1B	PCED1B	5.22913640531799e-17	16205.0	3.85596386082075	0.169954638085804	10777.0	1.6298148041143845	1.7689078463594619	25	1.2584878637335113
LIMCH1	LIMCH1	1.92308199524348e-27	16204.0	3.83659026750724	0.4504443654039495	10123.0	1.775928205427307	2.4408370054098936	24	0.8442440267468342
FOXN1	FOXN1	0.000103483305181339	16203.0	3.83066058786057	0.0445831488874311	16200.0	3.06654761173255	1.987059143001327	23	0.38454465677044514
MROH2A	MROH2A	0.19828666375163898	16202.0	3.80947118689754	0.0758607709858109	9994.0	1.2888198743833206	3.1260361392022404	21	0.8063410658961497
PCDHAC1	PCDHAC1	0.0255323626901891	16201.0	3.7863473517199804	0.23803577062914397	13391.0	1.6749145770508784	1.5510997729394596	25	1.3612488451776161
IFITM10	IFITM10	6.39091042477064e-16	16200.0	3.7835249790631003	0.0860851252068788	14244.0	2.5561910220277024	2.33489893204138	25	0.5256475730888923
PCDHB16	PCDHB16	2.0573385198529996e-18	16199.0	3.7821371754496402	0.20416505629001602	11271.0	1.4945870714988185	1.8801062161930833	24	1.2167132283529958
LHX5	LHX5	4.3955347474585795e-17	16198.0	3.7796218794430603	0.13556158485519954	12516.0	1.6153292612432297	2.7050151650413685	25	0.8001036911623863
CYP2W1	CYP2W1	0.0870047920968892	16197.0	3.77758129321759	0.0236713348600483	17534.0	3.9511438178628504	2.805844128835759	25	0.06185750764326228
MUCL1	MUCL1	0.314642553858422	16196.0	3.7745346313215093	0.15965703394037697	15497.0	3.062556587001262	4.989118903289299	24	0.1427061687888104
SH3PXD2A.AS1	SH3PXD2A.AS1	1.09733889670221e-15	16195.0	3.77091346135296	0.455945862454906	7326.0	0.3882425729523736	1.877744982417478	24	1.8014538289675586
RPE65	RPE65	0.087555930619694	16194.0	3.7663422615070297	0.18891940838699803	13301.0	2.2550554731954735	1.9009835087921079	19	0.7950025769933341
HOXD10	HOXD10	7.30752504568284e-11	16193.0	3.74676133133456	0.23764889721431948	14230.0	2.160801254392609	2.4670686253635408	24	0.6428520312069747
PNPLA7	PNPLA7	5.72940481125304e-08	16192.0	3.74255486040914	0.018768157126160152	15278.0	2.4193989713043234	1.8065017059015442	25	0.7324409851273784
CRP	CRP	3.0405128247032594e-08	16191.0	3.73560865848031	0.00234066577754909	17578.0	6.797103168024075	7.284422976314596	19	0.42027961850901
SOST	SOST	5.92945822589583e-08	16190.0	3.71144469927561	0.09081525577394366	16612.0	2.875358244268265	3.1405971585393564	24	0.26621894270457663
DEFB1	DEFB1	0.28822646583087297	16189.0	3.69828888336286	0.12219528699017945	15532.0	2.8000761010791386	2.1650956069358354	22	0.4148605629267903
CCR5	CCR5	0.35483917258821396	16188.0	3.68520477142147	0.279329388725482	13805.0	1.7438158579179943	2.1618425747014225	25	0.898025108868811
PCDHB14	PCDHB14	7.82284182207618e-24	16187.0	3.6720441437868194	0.464187134238397	9664.0	1.121390197823471	1.8381380904271378	25	1.3876291227775164
DDX60	DDX60	1.14103878315357e-20	16186.0	3.66584850794169	0.6322198329746589	5340.0	0.8908220392493627	2.1287311711098984	25	1.303605878634951
NLRP6	NLRP6	0.112140121601774	16185.0	3.64699270454006	0.0679268730594797	16319.0	2.8944928581164917	2.282451037358992	24	0.32968937081527966
PCDHB8	PCDHB8	5.1573455149840395e-26	16184.0	3.6364963489791	0.2434390313216365	12019.0	1.5313875699570394	1.7895841183431933	25	1.1763117237377931
PCDHA3	PCDHA3	0.150165736480504	16183.0	3.63272484230375	0.227269005369925	12802.0	1.6787748204840027	1.5801239506880536	25	1.2365802195257618
MAGEA8	MAGEA8	0.24889466707024202	16182.0	3.62547636216817	0.12283813984564648	15960.0	2.341163435122414	2.4882858673393695	24	0.5161436408506486
NHS	NHS	1.51975030968394e-11	16181.0	3.61158859741152	0.556628121442455	8293.0	1.0002245664100382	1.5253153319427244	25	1.7120158542401243
CRYAB	CRYAB	1.08490453397288e-19	16180.0	3.60387908134332	0.341178206003536	13874.0	2.881926566494788	4.564646610337933	25	0.15816175412428787
OLFM4	OLFM4	0.309603924336471	16179.0	3.5976656068166397	0.013752410487416761	17465.0	4.0350187779259485	2.9103536954969287	23	0.15027492080636368
ERVFRD.1	ERVFRD.1	0.0489707303406127	16178.0	3.5781083582525803	0.37965517595172904	15377.0	2.7567107008621576	3.1862371914316294	19	0.2577955149099729
PCDHA2	PCDHA2	0.0525455835312308	16177.0	3.57593951238043	0.21571501332264797	13426.0	1.7018525415152541	1.5887353282431627	25	1.1796093015301408
IFIT3	IFIT3	3.4986632180893697e-28	16176.0	3.5563510480055998	0.7364828648965196	6446.0	1.2759645479233954	2.4925544717513746	25	0.9148793039134298
GYPE	GYPE	0.0642005634653207	16175.0	3.5509145269127296	0.40784081962155444	12627.0	1.141148937984671	2.219287705160056	23	1.0858283868851808
OASL	OASL	1.46697412519149e-17	16174.0	3.53586129517108	0.438240211397782	10941.0	1.5375333971251484	2.2126467446795774	25	0.9031391490083149
CEND1	CEND1		16173.0	3.5348490600221605	0.0217320938525414	16692.0	3.450280431378692	2.6988619522849904	24	0.03133492195548141
FPR1	FPR1	0.0287964343790695	16172.0	3.52567958952698	0.1901662029860845	15901.0	2.5501512199403846	2.7801790554377015	25	0.35088688538911805
HLF	HLF	0.000338580949333444	16171.0	3.5148435464400096	0.151483140761264	15178.0	2.6443227188097045	1.6764367931954887	25	0.5192685051793623
CDSN	CDSN	0.15396814522334498	16170.0	3.50892613366769	0.0298311622051413	17149.0	4.023618002131262	3.8258858906083155	24	0.1345288080146416
LINC00330	LINC00330		16169.0	3.50740510476292	0.8418716321087121	8320.0	0.9266500850127602	1.7821026557918151	22	1.4481517163799362
COL17A1	COL17A1	3.864970928935739e-58	16168.0	3.50647569550515	0.0436006622737423	17492.0	4.901300395925065	3.4611575037074047	24	0.4029937091640165
NCF2	NCF2	7.47719785918353e-10	16167.0	3.4892874143387003	0.18913978072081	14165.0	2.119774842339875	2.330123490143434	25	0.5877424856630767
LINC00304	LINC00304	0.153922334874957	16166.0	3.4790422312152702	0.608127757456314	9590.0	1.1729597345249339	1.7664751101121543	24	1.3054712650572937
TCP11	TCP11	0.00325784298555845	16165.0	3.4756216021127897	0.015777022052961002	17187.0	3.49516962637982	3.000868655364713	22	0.006514121913361357
COLQ	COLQ	0.00125686875236447	16164.0	3.46909946641949	0.48072293981284253	7093.0	0.6558819855965254	1.8671374368926608	25	1.5067008058629014
SLC1A6	SLC1A6	0.576858954587245	16163.0	3.45411245119178	0.07922779198447111	15727.0	2.8916014096150637	3.870471969346892	24	0.14533396599475562
NNMT	NNMT	0.18688906656998702	16162.0	3.45104315029132	0.166115013670839	10537.0	1.6764823995083913	2.725277714717297	25	0.6511485934808704
SLC26A7	SLC26A7	0.00868136842805351	16161.0	3.4254010422458	0.36949684271164096	14172.0	1.9556822294072291	2.0840052087281253	23	0.7052375909058043
TNC	TNC	4.7512066321730696e-14	16160.0	3.4231705371133194	0.5331585075330065	13490.0	2.7533164632534213	3.42834473997494	25	0.19538702337875
FIBCD1	FIBCD1	1.8097607621622397e-22	16159.0	3.40331582746211	0.0414010267896231	15627.0	2.0413830195917595	2.6449531308671377	25	0.5149175582645754
SPINK7	SPINK7	0.21640671456554603	16158.0	3.3930173807681103	0.16733960028207698	14871.0	2.1160444523456436	2.568888017818044	21	0.49709170643689593
TCTE1	TCTE1	0.190513675177823	16157.0	3.39280519766442	0.12739549661650199	14370.0	2.3983241805426316	2.3988296388560837	23	0.4145692553623862
TMEM178A	TMEM178A	0.0089907937661093	16156.0	3.38533824297239	0.148307260058135	13614.0	2.02351303159875	2.363392238249426	25	0.5762163340192524
PCDHB7	PCDHB7	4.71169981405545e-06	16155.0	3.37965814931154	0.195948430518558	12099.0	1.3888717136026838	1.9231842998839128	25	1.0351511479315967
RNF112	RNF112	6.54805704740012e-07	16154.0	3.37136032799205	0.122688472247105	15141.0	2.321969554166702	2.140341960021762	25	0.490291174693729
ASCL1	ASCL1	0.0122328838416371	16153.0	3.3696254962242596	0.0044437205338702795	17415.0	4.253568428589463	4.278003082641823	24	0.20662512749274048
SFTA1P	SFTA1P	0.04379453180642501	16152.0	3.36204531454686	0.230433590505427	12732.0	1.6071194838221146	2.0333000634802203	23	0.863092399515787
KRT31	KRT31	2.93103328988385e-13	16151.0	3.35306490642188	0.1968681868218285	16028.0	2.7582351027858283	2.231988249222761	23	0.26650221113089984
EFNA2	EFNA2	1.3957049437562302e-07	16150.0	3.34980991800182	0.0735428816341401	16590.0	2.0720650553538214	2.948088307694894	24	0.43341471804386533
KCNK3	KCNK3	0.0854460482035398	16149.0	3.3396313541827	0.0871856166309869	13210.0	2.262666430641244	2.7228966342237735	24	0.3955217800063389
TBX15	TBX15	6.73726719532546e-06	16148.0	3.3374888698104	0.5076621516054615	7535.0	0.9400436289315861	2.0413041124524876	23	1.1744674525729766
SDK1	SDK1	8.71604838306483e-19	16147.0	3.33043671059462	0.10726053888086605	12226.0	1.7831444623588388	1.8413266773251398	25	0.8403138168201111
DOCK2	DOCK2	0.0487722371035235	16146.0	3.32188693962811	0.0881472984727931	14758.0	2.8676245768436	2.4886317848360524	25	0.18253498390258488
VCAM1	VCAM1		16145.0	3.3143279048028	0.28095095497889	11410.0	1.6555115884201579	2.978886676056404	24	0.5568578119187347
PCDHB5	PCDHB5	1.89440935365716e-23	16144.0	3.31284585658661	0.36748544982614	10421.0	1.1758021939249876	2.151918104331606	25	0.9930878216786956
LINC00671	LINC00671		16143.0	3.31136255390335	0.5170451625849419	9764.0	1.1601582925463938	1.9229841067796132	22	1.1186802084181233
RFPL1	RFPL1	0.0427695770422746	16142.0	3.3020984114	0.25602501738543204	14228.0	1.7353733257360766	2.5370832421086567	22	0.6175300280497554
IL2RG	IL2RG	0.0123018194844009	16141.0	3.29723964238922	0.111395260877966	15987.0	3.3309205353161917	2.552834554476911	25	0.01319352751156772
SYT8	SYT8	0.0029025681423308102	16140.0	3.2955257767809503	0.201498838560359	17059.0	3.219775994354961	2.558753793412402	24	0.0296041700538011
THSD7B	THSD7B	0.20238730670646002	16139.0	3.29245615128541	0.5664719618971855	7582.0	0.5216038356226016	2.1601458305857073	24	1.2827153965394609
SLC37A2	SLC37A2	2.6435751956102597e-33	16138.0	3.28040701858723	0.21550554042328202	11443.0	1.7323740521986153	1.8987141559058756	25	0.8153059593375438
IL26	IL26		16137.0	3.28040643612858	0.06827421022479599	15932.0	2.9178101435607964	1.9461721685968465	19	0.18631254645328157
PCDHB13	PCDHB13	2.6775821137531695e-24	16136.0	3.27109532876716	0.4273861887894145	7746.0	0.8848982622407456	1.7813783034412716	25	1.3395229199304561
MB	MB	0.0333311018657205	16135.0	3.26056212983236	0.03463450249303791	17209.0	4.730911915982834	5.070370004213159	24	0.28998865663229817
HMX2	HMX2	0.0933531544699358	16134.0	3.25931903625948	0.275723388377066	10916.0	1.27572502063464	1.7613495746383128	22	1.1261784964135608
ADAM21	ADAM21	0.00612486479685645	16133.0	3.2546752714890403	0.635829231559114	6857.0	0.29591210122219874	1.738939824824068	24	1.701475305832498
LINC01561	LINC01561	6.32434280939222e-05	16132.0	3.25419884367447	0.11354386599307001	14898.0	1.6086834486876442	2.447313031130097	22	0.6723763466527105
SEC14L5	SEC14L5	0.215339764387155	16131.0	3.24478323617469	0.271850464889864	11824.0	1.3901153212862156	2.2700631053101428	25	0.8170116110649198
FOXE3	FOXE3	0.20390044631284301	16130.0	3.23966209024398	0.2057824695455165	13644.0	1.5079067811688875	2.185414918545907	25	0.7924148839559204
ACTG2	ACTG2	5.0144905711405795e-09	16129.0	3.22144561861061	0.09461494593649955	15300.0	2.645730546604883	2.950865470611939	24	0.1951004129938656
GALR3	GALR3	0.224223492603735	16128.0	3.22107138208489	0.7377367390397629	7041.0	0.3434296718758549	1.352338239303337	23	2.1279008657563843
FAM189A1	FAM189A1		16127.0	3.21483197077977	0.0763723026140574	13041.0	1.5200309515210775	2.0923046585749705	24	0.8100163675078704
FGR	FGR	0.0980634082234875	16126.0	3.19279191672738	0.0405990955470181	16954.0	3.2267264869435475	2.3858273069758695	25	0.014223397526278185
GABRE	GABRE	0.000104638741638837	16125.0	3.1865450205670296	0.0376238919814915	16489.0	3.4830756852897946	2.486504128398962	24	0.11925605163330191
IL13RA2	IL13RA2	6.75718187688614e-06	16124.0	3.1823596602843	0.40898631641899696	10358.0	1.4732125809922507	2.792519806973217	22	0.6120447471936021
LYG1	LYG1	0.00855141053851723	16123.0	3.14904786955853	0.45896491118276506	3775.0	0.13661446785342438	1.6798120921419448	25	1.7933157022723432
MUSK	MUSK		16122.0	3.1351867967389304	0.7283739213822521	9527.0	0.7566147207246222	1.9143094737071122	22	1.2425222299130867
C4BPB	C4BPB	2.90155736978885e-05	16121.0	3.1328243823133906	0.04434887676828015	17182.0	4.082320182355136	3.7581288012514418	23	0.25265121294554
FLRT2	FLRT2	5.03861906536302e-19	16120.0	3.1190524150272405	0.675581470176656	8483.0	1.2852121606063929	2.4107014684788934	25	0.7607081500547498
WDFY4	WDFY4		16118.5	3.11867884186517	0.12121298845089451	16153.0	2.752799728820688	2.332015187216463	25	0.1568939666646007
ZNF626	ZNF626		16118.5	3.11867884186517	0.44394460245951506	2724.0	0.06960351386364191	1.918588184763701	25	1.589228658977206
STIM1	STIM1	1.3325630106109298e-39	16117.0	3.1165931329592205	0.2597279129894035	8681.0	1.1170678410378863	1.4096226089266721	25	1.418482705412785
BMX	BMX	0.0019941019520891	16116.0	3.1125864535913097	0.307837460993675	15108.0	2.382784714930725	2.0407092290655195	24	0.35762161912443313
UNC13D	UNC13D	3.7379331405691697e-20	16115.0	3.10603279733464	0.01392649442894175	16803.0	3.5422533315705653	2.145989809918703	25	0.20327241640185179
PCDHB4	PCDHB4	4.91887869381791e-05	16114.0	3.0979614650738196	0.22081476415442	11963.0	1.3237191575545928	1.9221583650222038	25	0.9230468934325979
