pathway	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	0.002094855036031507	42.5	0.002094855036031507	0.00166783415057207	49.0	0.10882275281322112	0.27766691456685116	25	-0.3843738385024399
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	0.002094855036031507	42.5	0.002094855036031507	0.7785849551178491	12.5	0.5784516424941075	0.4463255846533094	25	-1.2913371029486702
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	0.00933300149328024	37.0	0.00933300149328024	0.518925518925519	22.0	0.5574965683981427	0.41040992940752347	25	-1.335648890601168
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	0.019886363636363636	35.5	0.019886363636363636	0.967289289657711	8.5	0.6995509220658943	0.3955671851650783	25	-1.7182025807977288
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	0.019886363636363636	35.5	0.019886363636363636	0.63993600639936	18.0	0.5843911991339611	0.35951085719911785	25	-1.5702024686974672
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	0.023637051259673008	34.0	0.023637051259673008	0.0019014298752662	46.0	0.06407598945136547	0.13674689741698245	25	-0.2957210653809714
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	0.02489310607391788	33.0	0.02489310607391788	0.013127625525105	43.0	0.20245371057818917	0.3483929250358028	25	-0.509656171938693
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	0.04348557962069353	32.0	0.04348557962069353	0.0168902458830026	42.0	0.10804749202953906	0.22194042519625548	25	-0.2908974890525478
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	0.04644373673036093	31.0	0.04644373673036093	0.5071538300715379	23.0	0.5313992831886349	0.33970227592585767	25	-1.427589924549457
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.04674005552997642	30.0	0.04674005552997642	0.632086494314348	19.0	0.5896815219849754	0.3366353903962876	25	-1.6128472583225655
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	0.061940156279778925	29.0	0.061940156279778925	0.668582780834156	17.0	0.5321013766204999	0.4539031731868789	25	-1.035818315698684
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	0.14164550620994626	28.0	0.14164550620994626	0.160955816050496	31.0	0.29443006844096326	0.3056264158681212	25	-0.49990627216249534
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	0.18741774769693553	27.0	0.18741774769693553	0.468213317264236	24.0	0.48101926436194103	0.29263419594757745	25	-1.0033055628180971
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	0.2165540295036698	25.0	0.2165540295036698	0.0262973352033661	39.0	0.088661479320085	0.13074067729771868	25	0.9782154477626867
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	0.2165540295036698	25.0	0.2165540295036698	0.0338145281975921	37.0	0.24158405668755262	0.3602037515696358	20	-0.06948852441100664
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	0.2165540295036698	25.0	0.2165540295036698	0.0653718318289936	33.0	0.19028355861160356	0.2438963157880178	25	0.10771163478705105
HALLMARK_COAGULATION	HALLMARK_COAGULATION	0.22541108869735316	23.0	0.22541108869735316	0.00169411126922816	47.5	0.06417231303672456	0.1536583910067541	25	1.049332708771767
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	0.27802812590337883	21.0	0.27802812590337883	0.380153826755769	27.0	0.43084787697955795	0.37109799441756436	19	-0.41180430337821855
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	0.27802812590337883	21.0	0.27802812590337883	0.788925616051841	11.0	0.7146368323691544	0.3130709451591431	25	-1.3945998925062646
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	0.27802812590337883	21.0	0.27802812590337883	0.7614001393360821	14.0	0.6990984173574543	0.2866927412877761	25	-1.468716262444238
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	0.3217834796782165	17.5	0.3217834796782165	0.967289289657711	8.5	0.7911898109301377	0.2749205228486878	25	-1.7074255729910552
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3217834796782165	17.5	0.3217834796782165	0.9982001799820021	4.0	0.7834924455436061	0.3301975246640991	25	-1.3982811238063444
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	0.3217834796782165	17.5	0.3217834796782165	0.9968066104966891	6.0	0.6421141058252696	0.46042454838964353	21	-0.6957288165181994
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3217834796782165	17.5	0.3217834796782165	0.53395623366928	21.0	0.5097583730544758	0.4478433413608546	25	-0.41973358988672893
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	0.3994447871684146	15.0	0.3994447871684146	0.907485693767087	10.0	0.579545930084572	0.471995127320633	18	-0.3815741572133056
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4224766167441326	14.0	0.4224766167441326	0.03470907331597945	36.0	0.1936989238262894	0.29077656029895166	18	0.7867817566953592
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5275135803588193	13.0	0.5275135803588193	0.00309405940594059	45.0	0.13088940726694992	0.28561247670945406	25	1.3886794360715011
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	0.5899687535799075	12.0	0.5899687535799075	0.0265049648324369	38.0	0.10198273175623296	0.1432388464131948	25	3.4067994405372604
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.6270358306188926	11.0	0.6270358306188926	0.7785849551178491	12.5	0.7236637499225352	0.3104167078076998	25	-0.3112845309972901
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	0.6911419218756094	10.0	0.6911419218756094	0.9977623836633325	5.0	0.6456940259965839	0.4304857147843547	20	0.10557352850092126
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	0.7037216365517089	9.0	0.7037216365517089	0.20766773162939298	30.0	0.2870114771464921	0.2775941717462553	25	1.5011488057686075
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	0.8887464848318941	7.5	0.8887464848318941	0.971817298347911	7.0	0.8936116065454087	0.1737574287796137	25	-0.02799950337481867
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	0.8887464848318941	7.5	0.8887464848318941	0.4087301587301585	26.0	0.4708840633236506	0.4297099661941491	24	0.9724289739173685
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.9232312344680978	6.0	0.9232312344680978	0.6701020681291519	16.0	0.60982994850737	0.3742144860505213	24	0.837491058318936
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	0.9337720053303749	5.0	0.9337720053303749	0.7085529421780551	15.0	0.5854312199901178	0.4116981269662627	25	0.8461072871696655
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.9998649743451256	2.5	0.9998649743451256	0.999573060091792	2.5	0.9351618842853305	0.1631276403995325	25	0.3966408752147956
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	0.9998649743451256	2.5	0.9998649743451256	0.999786530045896	1.0	0.7388869186283753	0.41124275061383775	20	0.6346082826437761
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	0.9998649743451256	2.5	0.9998649743451256	0.21720477448491052	29.0	0.3619690410031562	0.35693866423427967	24	1.787130387542665
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.9998649743451256	2.5	0.9998649743451256	0.999573060091792	2.5	0.7575983124574588	0.4115683014561712	19	0.5886426652162041
