	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
MNX1	MNX1	4.86773696299524e-44	17468.0	5.00258268284833	8.62552781450462e-05	15510.0	1.1996600454219466	1.0478629021975872	25	3.629217743514787
SSX5	SSX5	1.5152225351183899e-05	17467.0	4.94499022297026	0.23309055368062398	14762.0	1.3872061770716604	1.190261493139355	21	2.9890776660469993
IL36RN	IL36RN	2.9039776288609303e-05	17466.0	4.91155033290608	0.00696718390765398	14520.5	0.9630557948430747	0.6817673823228464	25	5.791556827799694
TFF2	TFF2	0.0210346903181564	17465.0	4.90557335265337	0.00425775111412637	16631.0	1.5558651567699036	1.0011069070398124	25	3.3460044799693445
LGALS4	LGALS4	1.13157145533106e-08	17464.0	4.90325654381453	0.0017955281252273	15946.0	1.4957791452044686	1.0624146328319197	25	3.207295243597369
MMP11	MMP11	5.52350044293911e-16	17463.0	4.90271474402622	7.914900453016789e-06	14213.0	1.042646887694405	0.7835475783929661	25	4.926398808160067
CD300LG	CD300LG	9.757781978069928e-45	17462.0	4.88793794935476	1.96811517568272e-15	17538.0	2.901565793557549	1.5612081475026636	25	1.27233012393296
XDH	XDH	7.63680536519542e-48	17461.0	4.883890234837559	4.15575883083552e-09	16063.0	1.5727747017176847	0.9920572873817938	25	3.337625331958869
FENDRR	FENDRR	7.553967819046329e-31	17460.0	4.87794008317038	3.38104202430411e-17	17436.0	2.587847587719308	1.5623276971006812	25	1.465820838804147
SLC10A2	SLC10A2	1.91233245574136e-05	17459.0	4.86526316364785	0.00232692112907111	16947.0	1.8690888964559027	1.4275073702934058	25	2.098885322445741
ZIC1	ZIC1	1.8405435431146398e-05	17458.0	4.842885017505799	0.013710752556129	13737.0	0.9149462251051231	0.7137843046726909	25	5.502977253334046
GABRA3	GABRA3	6.47307103887106e-06	17457.0	4.8366888513356106	3.964315242782655e-05	15150.0	1.3595467324551291	1.034989840105828	24	3.359590581608939
AOC1	AOC1	1.02200997682238e-19	17456.0	4.8303285435862495	0.0033462750411145698	13334.0	1.0906065412878323	0.9377983061924737	25	3.9877679215288286
NR2E1	NR2E1	0.0014203181875982699	17455.0	4.81113723409249	0.22098210104564603	12562.0	0.9708956220758419	1.0121500555658776	23	3.794142568978695
ANKRD1	ANKRD1	1.58870516946054e-22	17454.0	4.79902699743141	1.7446222619587701e-15	16991.0	1.8845377233937455	1.2047447641836742	25	2.4191757131333125
SLC44A5	SLC44A5	1.48868900781088e-19	17453.0	4.792954503956651	2.24432363406493e-15	16547.0	1.6225089277215128	0.8862172280129452	25	3.5775038850732273
HOXA11.AS	HOXA11.AS	6.78546153267246e-06	17452.0	4.78535994810678	0.0305147243889672	13094.0	0.7699754931928431	0.6340958719905757	25	6.332456387562819
LCT	LCT	2.3832152129011804e-09	17451.0	4.78349727302631	0.0199794308173036	15579.0	1.4566740126987556	1.1296045522382547	25	2.9451220373852256
VSX1	VSX1	2.14408557042582e-09	17450.0	4.7782664079507695	0.2860805958720015	12461.0	0.8656837752766616	0.8800173113176618	22	4.446029165966912
MAP7D2	MAP7D2	1.31099190961538e-21	17449.0	4.76782431959111	0.000312677741282649	11410.0	0.930324636371908	0.9247490140243532	25	4.149774290127702
DMRTC2	DMRTC2	1.1977721090231699e-05	17448.0	4.7608535405691	0.35685500394054204	14968.0	1.3802522685869507	1.1011627749196302	22	3.0700286542367787
IL37	IL37	1.44683147318801e-09	17447.0	4.74014214549777	0.20686357091892	14239.0	0.9852293885638601	0.8063185762839457	25	4.656860039414018
COMP	COMP	5.512467034517911e-12	17446.0	4.7256154368068	2.8404510330039396e-07	16437.0	1.7746350656792973	1.3793672700952422	25	2.1393724754131247
AKR1B10	AKR1B10	1.60157887624971e-08	17445.0	4.72162921706438	0.0045838010041627	15575.0	1.500506731932135	1.321989682041604	25	2.436571577591839
LGSN	LGSN	7.036539149103409e-26	17444.0	4.673714000965719	4.63097591854627e-06	16430.0	1.5246319109242272	0.9127298105131804	25	3.4501799478543687
KCNK2	KCNK2	1.4866257988766797e-16	17443.0	4.665604463453481	0.00029545186471163597	14599.0	1.1344705147093064	0.9134527564774928	25	3.86569959278587
FOXD3.AS1	FOXD3.AS1	5.1786175500586e-07	17442.0	4.651999697556669	0.00643965065659247	12153.0	1.0659472513726012	1.1183435099958956	25	3.206575094442341
CASP14	CASP14	0.00608536697680807	17441.0	4.6503326605440005	0.03577667896773845	13035.0	1.1272798156811754	1.0335379697587805	24	3.4087309300161244
GRIN2A	GRIN2A	6.86493265892246e-07	17440.0	4.65016106590479	0.00011230663333551799	14067.0	0.9473512636052834	0.6641046870576446	25	5.575641724055624
PLPP4	PLPP4	2.9968873618550097e-15	17439.0	4.63830234095837	0.00659360435887615	13707.0	0.9838055223485224	0.7048220208028124	25	5.184992396303498
TCN1	TCN1	1.02747081423983e-06	17438.0	4.62769146177595	0.000619736520339938	17219.0	1.8916880763383106	1.3573392902699508	25	2.01571074015952
ADAM2	ADAM2	0.0200692223096994	17437.0	4.6177836620134	0.1881131229021355	11592.0	0.9654691442558697	1.0409566143913347	22	3.5086135841435637
IL6	IL6	2.63188522671789e-34	17436.0	4.61430902022122	1.2833381199366e-09	17370.0	2.256311920563776	1.2714755648603149	25	1.85453591466895
LINC01561	LINC01561	1.09253502619864e-05	17435.0	4.5922979082146105	0.0702594681259017	10712.0	1.2809187514320055	1.3191654014716412	19	2.5102077063941186
SMPX	SMPX	1.0290087026103098e-05	17434.0	4.5706473947139195	2.9041276430589546e-06	17254.0	2.1041124965595714	1.5939528304315282	24	1.547432804198219
LINC01096	LINC01096	0.000889519197675069	17433.0	4.56023475690974	0.0012494025834919	16442.0	1.4606408792609542	0.95029490964491	22	3.2617178585192974
NXPH1	NXPH1	0.00024865170079147597	17432.0	4.55633285238562	0.058567936587300404	11758.0	0.8844768240958424	0.7840399140965248	22	4.6832514037515285
TFF1	TFF1	3.12109875642044e-06	17431.0	4.53775130048337	0.00531217605031406	16128.0	1.5186017278501982	1.2574435580307737	25	2.4010219411846423
LINC00858	LINC00858	2.12510535542509e-11	17430.0	4.5364774500233604	1.2066101329211131e-05	16793.0	1.666606150995311	0.983104080101556	24	2.919193763016005
DMBX1	DMBX1	1.7228945679374998e-11	17429.0	4.53308768399303	1.01110962593998e-05	15772.0	1.623488702946461	1.2701961441671556	25	2.2906690391146953
IL36G	IL36G	3.67925392290849e-05	17428.0	4.52048690838718	0.0559452979763279	13897.0	1.0327835732264867	0.7568958221336104	25	4.60790406443151
PNPLA5	PNPLA5	0.0124577063512964	17427.0	4.51931491272014	0.034637224100888556	15490.0	1.3107894235445328	0.9523910404642271	22	3.3689160784331458
CST1	CST1	9.039214081273209e-07	17426.0	4.51713767415993	1.44577429664772e-05	15117.0	1.2188776094259477	1.0041017261983805	25	3.284786768788349
DLK1	DLK1	1.02942307836761e-08	17425.0	4.50588937769588	0.000150905103176058	15745.0	1.773511047178508	1.5912105411547146	25	1.7171695761483146
PITX1	PITX1	5.7603903873488795e-31	17424.0	4.50443886633963	8.412518749496091e-05	10493.0	1.0271366469664394	1.1047094856669737	25	3.1477073968218465
ONECUT1	ONECUT1	7.437220216513229e-06	17423.0	4.50203534123999	0.111978345488108	12023.0	0.9168908060249584	1.0593187639745654	24	3.3843868881955466
PIWIL1	PIWIL1	5.992411038972011e-05	17422.0	4.483232511651231	0.0179977990626158	13991.0	1.313698806158414	1.0480041961536155	25	3.024352113403398
WFDC3	WFDC3	6.22838619023335e-20	17421.0	4.48313155724013	0.00397212722789216	13448.0	0.9866148930430946	0.7605033602103659	25	4.597634733960741
CFC1	CFC1	2.5631832696632798e-08	17420.0	4.478625999342491	0.002121336403706555	16041.0	1.8087055727360355	1.538913551659802	23	1.7349385374680735
SYT4	SYT4	2.09027402496626e-10	17419.0	4.4656612262952	0.00010293344668308901	13437.0	1.2476946783793992	1.1738620767457006	25	2.7413497817707633
AGER	AGER	8.3039186961707e-33	17418.0	4.4530076390725	8.21143738733637e-39	17595.0	3.5328659968250173	1.1016927000832737	25	0.8352071700011555
PPP1R14D	PPP1R14D	1.72288144015492e-10	17417.0	4.44626609127965	0.0012945900656945802	14482.0	1.3275179847613077	1.1131798088399998	25	2.801657092368811
KISS1R	KISS1R	7.72723306822609e-12	17416.0	4.44160349859691	0.238893994629051	10399.0	0.8066349819792141	0.879384594409656	25	4.133536725257172
B3GNT3	B3GNT3	1.0979824100220698e-27	17415.0	4.43860747800019	1.57924825376231e-05	15696.0	1.6799042460277147	1.1821157627680834	25	2.3336997262540513
ATP6V0A4	ATP6V0A4	2.42669720713411e-09	17414.0	4.42131843232814	0.178711292487135	10598.0	0.6553684298518391	0.5988533848336742	24	6.288601012954543
BPIFB6	BPIFB6	0.146535054404615	17413.0	4.42090588263447	0.862768569912463	12670.5	0.6711170964232308	0.3985908089710751	7	9.407614781411965
SSTR5	SSTR5	0.000763458361577854	17412.0	4.4198336329467605	0.1990729809080285	13005.0	1.0756460022551235	0.957173026538016	24	3.4938172493088073
CHRNA2	CHRNA2	2.27057700700234e-14	17411.0	4.39355388966137	0.06924936075651444	14015.0	1.027561951424101	0.8531791156945097	24	3.9452348004290583
MMP13	MMP13	1.42491600849115e-06	17410.0	4.38825379303136	0.000990310620775664	16481.0	1.6543440806360055	0.9412888587483164	25	2.904432244136816
FABP7	FABP7	6.146956712331321e-06	17409.0	4.3786484549057505	0.00221996669093905	14724.0	1.3565173253901428	1.014909999199146	25	2.9777331309183452
HOXA10	HOXA10	2.00324175133325e-12	17408.0	4.37579137027166	1.21621903448647e-07	12717.0	0.8715275111946233	0.7517265467064965	25	4.661620471473436
CACNA1S	CACNA1S	1.2904690659955999e-15	17407.0	4.373725218856181	0.002320234958717455	16312.0	1.5167143045694835	1.1072659268560978	25	2.5802391683800083
MUC5B	MUC5B	3.09164053087909e-05	17406.0	4.37313069870554	1.7767114914328602e-06	17250.0	1.883480446957435	1.0129178117016742	25	2.45789956794773
UPK3A	UPK3A	7.1441147051920506e-12	17405.0	4.3704462431671205	0.0175110908869953	14384.0	1.022731424930527	0.7767096884548498	25	4.310123676835269
HOXA11	HOXA11	5.91793490588245e-05	17404.0	4.36890259191184	0.00505203609904954	10454.0	0.6654095436581767	0.5717357927875106	25	6.477630218316751
LINC00163	LINC00163	3.2864081099075197e-28	17403.0	4.3675299960526095	0.000111108507467555	17347.0	2.04755812611611	1.038812925327671	25	2.233291301419565
PRSS3	PRSS3	2.7973529803404e-07	17402.0	4.36659338340972	0.00045880963689328097	14438.0	1.4158419998051297	1.2377009230453038	25	2.384058481870085
HOXA10.AS	HOXA10.AS	6.581188865941651e-09	17401.0	4.36599823076437	0.0004958911576939059	9692.0	0.6108890367053	0.4904375375030245	25	7.656651269349284
FAM71A	FAM71A	6.691000932111361e-11	17400.0	4.36337907220465	3.16400910419164e-06	17568.0	2.6579920124068472	1.2602424319774181	25	1.3532214251204973
ERN2	ERN2	3.6707434174915996e-13	17399.0	4.36207714432752	1.14379548238676e-05	15470.0	1.3510400723481313	0.9587686792236978	25	3.1405250684840738
MYEOV	MYEOV	7.68766974561882e-09	17398.0	4.35763204569854	0.000131813633204511	14442.0	1.4193659454460716	1.4057331543007632	25	2.0902018930570176
MYO3B	MYO3B	2.0300541585590998e-21	17397.0	4.35602887718719	3.55318240765462e-08	15420.0	1.1457744025173746	0.6940150184911539	25	4.625626807974811
MYOC	MYOC	5.94085202812614e-47	17396.0	4.35494834532026	4.79890768656526e-15	17551.0	3.0525083159010418	1.8748727616773064	25	0.6946818237702828
HTR3A	HTR3A	1.1161023688581499e-13	17395.0	4.35149513977135	0.008622742380760159	14774.0	1.1829603134077962	0.8614067083472996	25	3.6783261561112344
ERICH5	ERICH5	1.2337884530869601e-13	17394.0	4.3477449607399	0.00033944287504780697	11527.0	0.8174416859131849	0.7937216852640524	25	4.447784834872272
