Gemma ID,External ID,Study Description,Number of Samples,Study Category,Condition Description,Control Description,Number of DE genes,Funding Source,DE Prior AUROC (Fig 2),CXCL8 DE,Sex (Fig 3),Immunity (Fig 3),Funding Prior AUROC (Fig 4),"DE Prior AUROC (222 subset, Fig 4)",Cluster Prior AUROC (Fig 4),NIGMS sepsis or trauma (Fig 4),Max GO term (Fig 4),Max GO AUROC (Fig 4)
RSCID.458724.19520,GSE10961,Gene expression profiling of liver metastases from colorectal cancer,18,disease,Synchronous,Metasynchronous,930,NA,0.801,no,no,no,NA,NA,0.829,no,GO:0006082,0.564
RSCID.456506.19623,GSE10979,A study of temporal transcriptional changes induced by a low concentration BPDE in cultured human cells,18,treatment,BPDE; 0.05 uM,dimethyl sulfoxide; reference subject role,8,NA,0.84,no,no,no,NA,NA,0.665,no,GO:0017111,0.608
RSCID.445666.86331,GSE11057,Memory T Cell Subsets,9,cell type,mononuclear cell,memory T cell; Central,1073,NA,0.79,yes,no,no,NA,NA,0.705,no,GO:0006952,0.553
RSCID.445657.86358,GSE11058,Immune Cell Line Mixtures,6,cell line,IM-9,Jurkat cell culture,2166,NA,0.739,no,no,no,NA,NA,0.743,no,GO:0006955,0.532
RSCID.461560.75190,GSE11078,A six-gene signature predicting breast cancer lung metastasis,23,organism part,lung,reference subject role,32,NA,0.861,no,no,no,NA,NA,0.53,no,GO:0030141,0.607
RSCID.456661.19214,GSE11083,Childhood Onset Rheumatic Disease Gene Expression Profile,29,cell type,pediatric control PBMC,JIA PBMC,4,NA,0.911,no,no,yes,NA,NA,0.492,no,GO:0030659,0.741
RSCID.448968.65111,GSE11151,Gene expression data from different types of renal tumors and normal kidneys,67,disease,tumorous; kidney,reference subject role,376,NA,0.766,no,no,no,NA,NA,0.767,no,GO:0009888,0.529
RSCID.458634.81666,GSE11190,Interferon signaling and treatment outcome in chronic hepatitis C,78,organism part,liver,blood,2893,NA,0.778,yes,no,no,NA,NA,0.781,no,GO:0006082,0.54
RSCID.456645.19293,GSE11199,Identification of Tuberculosis Susceptibility Genes with Human Macrophage Gene Expression Profiles,24,treatment,Mycobacterium Infections,reference subject role; phosphate buffered saline solution,187,NA,0.884,yes,no,no,NA,NA,0.875,no,GO:0034097,0.592
RSCID.445189.81631,GSE11238,Vaccinia E3L mutant virus infected HeLa cell lines (langl-affy-human-215499),26,timepoint,6 hours,2 hours,1584,NA,0.604,yes,no,no,NA,NA,0.58,no,GO:0048468,0.514
RSCID.456427.19644,GSE11285,"GSK3 inhibition Induces Glioma Cell Death through c-MYC, NF-kB and Glucose Regulation",18,treatment,Enzastaurin; antineoplastic drug,dimethyl sulfoxide; reference subject role,4,NA,0.918,no,no,no,NA,NA,0.874,no,GO:0044241,0.75
RSCID.449155.75594,GSE11336,Glucocorticoid-regulated microRNAs and mirtrons in acute lymphoblastic leukemia,12,treatment,0.1% ethanol,100nM dexametasone,31,NA,0.832,no,no,no,NA,NA,NA,no,GO:0009968,0.572
RSCID.459122.75571,GSE11350,Generation of pluripotent stem cells from adult human testis,9,cell type,germ line stem cell,spermatogonium,2557,NA,0.67,yes,no,no,NA,NA,0.703,no,GO:0022402,0.521
RSCID.457793.81756,GSE11375,A Genomic Score Prognostic of Outcome in Trauma Patients,184,disease,"Severe blunt trauma; Trauma, Nervous System",reference subject role,257,NIGMS NIH HHS,0.876,no,no,yes,0.965,0.899,0.977,yes,GO:0006955,0.575
RSCID.457791.81595,GSE11428,Expression data from LNCaP and abl cells,21,cell line,LNCaP,abl,232,NA,0.837,no,no,no,NA,NA,0.704,no,GO:0048468,0.534
RSCID.443291.1173,GSE1145,changes in cardiac transcription profiles brought about by heart failure,26,disease,idiopathic dilated,normal,79,NA,0.707,no,no,no,NA,NA,0.572,no,GO:0008285,0.551
RSCID.457878.86352,GSE11462,Transcriptional response of MM6 cells to cyclin T1,23,treatment,10 ng/mL; PMA; phorbol esters,Mock treatment; reference substance role,137,NIAID NIH HHS,0.897,no,no,no,0.773,0.881,0.638,no,GO:0009888,0.548
RSCID.459021.19969,GSE11499,Expression data from Crohn's disease (CD) and Ulcerative colitis (UC) human peripheral blood samples,11,clinical history,Crohn's disease,Ulcerative colitis,1,NA,0.955,no,no,no,NA,NA,0.999,no,GO:0009887,0.988
RSCID.448370.34881,GSE11512.1,Gene expression changes during human postnatal brain development,57,organism part,Caudate nucleus,Prefrontal cortex,380,NA,0.762,no,no,no,NA,NA,0.721,no,GO:0097458,0.551
RSCID.459396.39597,GSE11524,The platelet transcriptome reveals changes in arginine metabolic pathways in patients with sickle cell disease,30,disease,Sickle Cell Anemia,reference subject role,24,Intramural NIH HHS,0.821,no,no,yes,0.581,0.789,NA,no,GO:0016491,0.597
RSCID.456559.18253,GSE11618,Stable XIAP knockdown in HCT116 colon cancer cells,10,genotype,knock-down; XIAP [human] X-linked inhibitor of apoptosis,wild type,5,NA,0.8,no,no,no,NA,NA,0.699,no,GO:0010955,0.699
RSCID.457788.81599,GSE11729,H1299 EGF and Iressa stimulation,40,cell line,L858R; mutant,WT; wild type genotype,37,NA,0.904,no,no,no,NA,NA,NA,no,GO:0030054,0.559
RSCID.457814.81761,GSE11755,Gene expression profiling in pediatric meningococcal sepsis reveals dynamic changes in NK-cell and cytotoxic molecules,41,disease,meningococcal septicemia,reference subject role,57,NA,0.936,no,no,yes,NA,NA,0.768,no,GO:0006955,0.597
RSCID.456726.19027,GSE11791,Estrogen- and Myc-regulated genes in MCF-7 breast cancer cells,12,treatment,ethanol,zinc,46,NA,0.872,no,no,no,NA,NA,0.778,no,GO:2001233,0.561
RSCID.466783.123981,GSE11877,Children's Oncology Group Study 9906 for High-Risk Pediatric ALL,207,genotype,Human chromosome 10; Human chromosome 4; trisomy,wild type genotype,7,NCI NIH HHS,0.63,no,no,no,0.557,0.607,0.718,no,GO:0045892,0.69
RSCID.456528.19434,GSE11882,Gene expression changes in the course of normal brain aging are sexually dimorphic,172,sex,male,female,8,NA,0.999,no,yes,no,NA,NA,1,no,GO:0051704,0.647
RSCID.450024.68324,GSE11906,Quality Control in Microarray Assessment of Gene Expression in Human Airway Epithelium,68,organism part,large airway epithelial cells,small airway epithelial cells,540,NHLBI NIH HHS,0.785,yes,no,no,0.637,0.773,0.515,no,GO:0009888,0.53
RSCID.457801.81549,GSE11917,Vitamin D sterol effects on coronary ASMC genes,27,timepoint,7 days,reference subject role,49,NA,0.945,no,no,no,NA,NA,0.571,no,GO:0031012,0.647
RSCID.459095.65102,GSE11952,Coordinate Control of Nrf2 Mediated Genes in the Human Small Airway Epithelium Highly Responsive to Smoking,55,clinical history,Smoking,Non smoking,7,NHLBI NIH HHS,0.979,no,no,no,0.996,0.989,1,no,GO:0016491,0.817
RSCID.445225.81676,GSE12056,Expression Profile of CREB knockdown in Myeloid Leukemia Cells,20,genotype,KO; CREB5 [human] cAMP responsive element binding protein 5,reference subject role,32,NHLBI NIH HHS,0.737,no,no,no,0.651,0.718,0.54,no,GO:0030155,0.591
RSCID.458659.81486,GSE12086,Search for recessive retinitis pigmentosa genes using RNA expression analysis in lymphoblasts,15,disease,Family; retinitis pigmentosa,Normal; reference subject role,1,NHLBI NIH HHS,0.997,no,no,no,0.99,0.988,1,no,GO:0000982,0.993
RSCID.458849.19045,GSE12108,Microarray analysis of human monocytes infected with Francisella tularensis,10,treatment,Uninfected,F. novicida infected,998,NCI NIH HHS,0.745,yes,no,no,0.707,0.745,0.632,no,GO:0002684,0.537
RSCID.456860.20174,GSE12113,"Antitumor Activity and Molecular Effects of the Novel Hsp 90 Inhibitor, IPI-504, in Pancreatic Cancer",15,treatment,Retaspimycin; antineoplastic drug,reference subject role,30,NA,0.708,no,no,no,NA,NA,0.562,no,GO:0045892,0.619
RSCID.447559.65004,GSE12121,Gingival Epithelial Cell Responses to a Complex Microbiome Comprising Commensal and Opportunistic Oral Microbial Species,8,treatment,Porphyromonas infection; Streptococcus gordonii,reference subject role,109,NA,0.643,no,no,no,NA,NA,0.551,no,GO:0000975,0.547
RSCID.458662.81473,GSE12172,Common activation of RAS_MAPK pathway in serous LMP tumours,90,disease,low malignant potential (LMP); ovarian cancer,ovarian serous tumor; malignant,207,NA,0.82,no,no,no,NA,NA,0.63,no,GO:0015630,0.57
RSCID.457824.81502,GSE12187,Biomarkers for Early and Late Stage Chronic Allograft Nephropathy by Genomic Profiling of Peripheral Blood,58,treatment,Calcineurin Inhibitor; cyclosporin A,advagraf; tacrolimus; FK506; immunosuppressive; protopic; prograf,379,NIAID NIH HHS,0.774,yes,no,no,0.744,0.771,0.829,no,GO:0006952,0.559
RSCID.457827.81491,GSE12195,Mutations of multiple genes deregulate the NF-kB pathway in diffuse large B cell lymphoma,78,cell type,Diffuse large B-cell lymphoma; DLBCL; Lymphoma,EBV-immortalized lymphoblastoid B cell; B cell; Lymphoblast,527,NCI NIH HHS,0.892,no,no,no,0.852,0.876,0.724,no,GO:0006955,0.543
RSCID.458710.19497,GSE12205,Effect of PTP inhibition on changes in gene expression after Cr(VI) exposure,8,treatment,Cr(VI) + Sodium Orthovanadate,reference subject role,5,NA,0.798,no,no,no,NA,NA,0.498,no,GO:0033043,0.975
RSCID.459383.64895,GSE12251,A Predictive Response Signature to Infliximab Treatment in Ulcerative Colitis,23,treatment,10 mg/kg,5 mg/kg,3,NA,0.975,no,no,no,NA,NA,NA,no,GO:0006955,0.814
RSCID.449083.75623,GSE12287,Bioligical pathways of Hsp90 inhibitors in adult T cell leukemia cell lines,14,cell line,MT-2,TaY-E10,2245,NA,0.716,yes,no,no,NA,NA,0.675,no,GO:0051240,0.521
RSCID.458668.19359,GSE12326,A comparative study of bone marrow and peripheral blood CD34+ myeloblasts in acute myeloid leukaemia,10,organism part,Peripheral Blood,Bone Marrow,2,NA,0.998,no,no,no,NA,NA,0.75,no,GO:0007193,0.748
RSCID.446654.20204,GSE12345,Global gene expression profiling of human pleural mesotheliomas,13,clinical history,healthy control,mixed type tumours,117,NA,0.854,no,no,no,NA,NA,NA,no,GO:0007049,0.607
RSCID.458928.65065,GSE12355,"Detection of Notch1-IC, Notch2-IC and EBNA2 target genes in human B cells",24,phenotype,Notch2-IC,reference subject role,25,NA,0.909,no,no,no,NA,NA,0.57,no,GO:0015630,0.628
RSCID.456756.20211,GSE12368,Analysis of adrenocortical tumors identify IGF2 and Ki-67 as useful in differentiating carcinomas from adenomas,22,disease,Adrenal Cortical Adenoma,reference subject role,63,NA,0.88,no,no,no,NA,NA,0.622,no,GO:0048699,0.58
RSCID.457828.81469,GSE12390,A high efficiency system for the generation and study of human induced pluripotent stem cells,15,cell line,primary; induced; BJ; pluripotent stem cell,BJ; reference subject role,2132,NA,0.805,no,no,no,NA,NA,0.845,no,GO:0007049,0.525
RSCID.458971.20006,GSE12408,Defective Cohesin in CdLS Mediates Gene Expression with Characteristics of Transcription Factor and Insulator Activity,35,disease,Bruck-de Lange syndrome,reference subject role,6,NICHD NIH HHS,0.884,no,no,no,0.476,0.845,NA,no,GO:0002460,0.665
RSCID.459432.39817,GSE12446,Endometrium of hormone-treated postmenopausal women,18,treatment,tibolone,reference substance role,87,NA,0.771,no,no,no,NA,NA,0.515,no,GO:0005929,0.549
RSCID.458853.19042,GSE12452,mRNA expression profiling of nasopharyngeal carcinoma,41,disease,Carcinoma of Nasopharynx,reference subject role,188,NCI NIH HHS,0.851,no,no,no,0.823,0.829,0.677,no,GO:0006928,0.558
RSCID.459429.39838,GSE12453,Origin and pathogenesis of lymphocyte-predominant Hodgkin lymphoma as revealed by global gene expression analysis,17,disease,Hodgkin lymphoma,centrocyte,759,NA,0.773,no,no,no,NA,NA,0.791,no,GO:0006955,0.544
RSCID.459568.71575,GSE12504,Hearts after off-pump coronary revascularization surgery and on-pump coronary artery bypass grafting,20,timepoint,post-operation,pre-operation,3,NA,0.991,no,no,no,NA,NA,0.82,no,GO:0071495,0.979
RSCID.457774.81145,GSE12548,EMT Time series in ARPE19,5,timepoint,60 hours,1 hours,329,NA,0.837,no,no,no,NA,NA,0.841,no,GO:0040011,0.542
RSCID.445214.38999,GSE12621,Expression data in the developing human retina at 19-20 weeks' gestation,8,organism part,Surround,Macula,19,NA,0.808,no,no,no,NA,NA,NA,no,GO:0016491,0.615
RSCID.459114.20235,GSE12644,Gene expression profile of normal and calcified stenotic human aortic valves,20,treatment,healthy control,aortic stenosis,19,NA,0.949,no,no,no,NA,NA,0.592,no,GO:0030198,0.704
RSCID.457769.81260,GSE12662,"Normal human bone marrow CD34+ cells, promyelocytes, and neutrophils and PR9 cell line PML-RARA induction time course",81,cell type,acute myeloid leukemia; tumorous; bone marrow,bone marrow; neutrophil; reference subject role,2708,NCI NIH HHS,0.624,yes,no,no,0.598,0.633,0.605,no,GO:1990904,0.529
RSCID.456407.19577,GSE12679,Laser capture microdissection of endothelial and neuronal cells from human dorsolateral prefrontal cortex,32,cell type,endothelial cell,Neuron,48,NA,0.822,no,no,no,NA,NA,0.518,no,GO:0006928,0.59
RSCID.458607.81209,GSE12720,Unique early gene expression patterns in adult to adult living donor liver grafts compared to deceased donor grafts,63,environmental history,donor; alive,donor; dead,2,NIDDK NIH HHS,0.978,no,no,no,0.713,0.979,1,no,GO:1901655,0.749
RSCID.445078.19607,GSE12764,Gene expression changes upon expression of activated versions of MEK1 and HRAS in MCF10A cells,11,treatment,Null Vector,HRas Vector,1270,NA,0.596,no,no,no,NA,NA,0.573,no,GO:0051240,0.515
RSCID.445112.81193,GSE12814,Identifying the molecular signature of the interstitial del(7q) subgroup of uterine leiomyomata using a paired analysis,22,organism part,7q; uterine fibroid; deletion,myometrium,223,NICHD NIH HHS,0.774,no,no,no,0.711,0.765,0.537,no,GO:0007267,0.533
RSCID.457114.77341,GSE12838,The Monocyte Advantage,44,timepoint,Day 3,Day 5,79,NA,0.858,no,no,no,NA,NA,0.603,no,GO:0006952,0.615
RSCID.458672.34701,GSE13059,Expression data from short-time cultured primary cells derived from colorectal adenocarcinoma,27,cell type,Colon Carcinoma; primary cell culture,Reference; reference subject role,115,NA,0.961,yes,no,no,NA,NA,0.949,no,GO:0031012,0.643
RSCID.446935.19894,GSE13073,MSCs Exposed to Keratinocyte Condition Medium,6,treatment,Conditioned Medium; keratinocyte,Growth medium; reference subject role,294,Intramural NIH HHS,0.811,yes,no,no,0.581,0.799,0.835,no,GO:0034097,0.551
RSCID.450004.68334,GSE13139,LOX-1-dependent transcriptional regulation after oxidized LDL (OxLDL) treatment of human aortic endothelial cells.,54,phenotype,LOX-1,GFP,13,NA,0.401,no,no,no,NA,NA,0.532,no,GO:0042995,0.588
RSCID.458730.19525,GSE13205,Skeletal muscle transcriptome in ICU patients suffering from sepsis induced multiple organ failure,21,disease,Sepsis syndrome,reference subject role,95,NA,0.79,no,no,no,NA,NA,0.703,no,GO:0003012,0.55
RSCID.459442.43890,GSE13309,Tobacco Smoke Induces Polycomb-mediated Repression of Dickkopf-1 in Lung Cancer Cells,24,cell line,A549,Calu-6,981,NA,0.825,no,no,no,NA,NA,0.855,no,GO:0009888,0.527
RSCID.459441.44144,GSE13314,Gene expression profiling of pulmonary MALT lymphoma,32,disease,MALT1 Tx: None,MALT1 Tx: API2-MALT1,1,NCI NIH HHS,0.991,no,no,no,0.865,0.992,NA,no,NA,NA
RSCID.456913.21067,GSE13355,Gene expression data of skin from psoriatic patients and normal controls,122,clinical history,Involved skin from cases,Normal Skin from controls,119,NCRR NIH HHS,0.91,yes,no,no,0.793,0.871,0.928,no,GO:0006955,0.608
RSCID.458697.82113,GSE13367,Genome-wide gene expression analysis of mucosal colonic biopsies and isolated colonocytes...,56,cell type,Colonocytes,Biopsy,264,NA,0.938,no,no,no,NA,NA,0.955,no,GO:0031012,0.588
RSCID.457446.71665,GSE13400,Exposure of SKGT4 and HET-1A cell lines to deoxycholic acid (DCA),32,strain,HET-1A,SKGT4,949,NA,0.845,yes,no,no,NA,NA,0.867,no,GO:0009888,0.529
RSCID.457848.82151,GSE13487,Antitumor efficacy of RAF inhibitor GDC-0879 involving BRAFV600E mutational status and ERK/MAPK pathway suppression,16,genotype,shBRAF; 2,reference subject role,10,NA,0.926,no,no,no,NA,NA,0.685,no,GO:0006954,0.643
RSCID.459093.20179,GSE13501,Subtype-specific peripheral blood gene expression profiles in recent onset JIA,70,disease,enthesitis-related arthritis,oligoarthritis,10,NA,0.999,no,yes,no,NA,NA,1,no,GO:0016577,0.642
RSCID.457007.77395,GSE13548,Expression data from human cancer cells treated with UPR modulators under ER stress conditions,42,timepoint,18h,15h,5,NA,0.913,no,no,no,NA,NA,0.622,no,GO:0019433,0.625
RSCID.448078.35224,GSE13564,Gene expression in the human prefrontal cortex during postnatal development,31,developmental stage,< 18 years; Human juvenile,< 3 years; Human infant,30,NA,0.843,no,no,no,NA,NA,0.586,no,GO:0040011,0.621
RSCID.457110.77411,GSE13637,Influenza virus infected HUVEC,21,genetic modification,pEGZ-transfected (empty vector),wild type genotype,4,NA,0.973,no,no,no,NA,NA,0.624,no,GO:0001666,0.746
RSCID.445421.82133,GSE13670,Gene expression data from S. aureus-exposed macrophages,30,treatment,Staphylococcus aureus,reference subject role,397,Intramural NIH HHS,0.765,yes,no,no,0.683,0.753,0.798,no,GO:0006952,0.58
RSCID.458972.34753,GSE13712,Differential gene expression of young and senescent HUVECs under static and laminar shear stress conditions,12,age,young,old,95,NA,0.892,no,no,no,NA,NA,0.751,no,GO:0034097,0.538
RSCID.440657.39482,GSE13732,CIS (multiple sclerosis) (case-control) (time-series),113,disease,Clinically isolated syndrome,Healthy control,13,NA,0.907,yes,no,no,NA,NA,NA,no,GO:0006952,0.73
RSCID.445940.19179,GSE13738,Human CD4+ memory T cells are preferential targets for bystander activation and apoptosis,8,cell type,directly activated; T cell,bystander activated; T cell,151,NA,0.874,no,no,no,NA,NA,0.639,no,GO:0051240,0.571
RSCID.445914.19316,GSE13762,"Comparative gene expression profile of 1,25-dihydroxyvitamin D3-treated human monocyte-derived dendritic cells",15,treatment,"1,25 dihydroxyvitamin D3; vitamin D",reference subject role; vehicle,185,NA,0.85,no,no,no,NA,NA,0.773,no,GO:0006955,0.565
RSCID.446249.18878,GSE13787,Frequent PTEN genomic alterations and activated PI3K pathway in basal-like breast cancer,23,disease,"Breast Carcinoma; ERBB2 [human] v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",basal cell carcinoma; Breast Carcinoma,383,NA,0.8,no,no,no,NA,NA,NA,no,GO:0006629,0.534
RSCID.456680.40238,GSE13791,"Expression data from human primary fibroblasts, endothelial and smooth muscle cells infected with Trypanosoma cruzi",18,cell type,smooth muscle cell,endothelial cell,730,NIAID NIH HHS,0.863,yes,no,no,0.688,0.847,0.878,no,GO:0051270,0.54
RSCID.458711.19499,GSE13811,Analysis of gene expression response of CLL cells to co-culture with Nurse like cells,18,treatment,Fresh CLL Cells,Co-Cultured with NLC,15,NA,0.979,yes,no,no,NA,NA,0.784,no,GO:0030335,0.67
RSCID.457197.78496,GSE13818,Small molecule inhibitors of HIF-2a translation link its 5â€™-UTR Iron-Responsive Element (IRE) to oxygen sensing,6,treatment,medium,Compound_41,26,NCI NIH HHS,0.926,no,no,no,0.897,0.896,NA,no,GO:0030334,0.605
RSCID.445828.40235,GSE13828,Induced pluripotent stem cells from a spinal muscular atrophy patient,8,cell type,embryonic stem cell,pluripotent stem cell,3,NINDS NIH HHS,0.516,no,no,no,0.566,0.539,0.999,no,GO:0008270,0.826
RSCID.456750.20151,GSE13837,Adapted Boolean Network Models for Extracellular Matrix Formation,60,treatment,TGF stimulated,TNF stimulated,43,NA,0.946,yes,no,no,NA,NA,NA,no,GO:0034097,0.728
RSCID.458818.19170,GSE13887,Activation of mTOR controls the loss of TCR? in lupus T cells through HRES-1/Rab4-regulated lysosomal degradation,19,disease,untreated; Systemic lupus erythematosus,untreated; reference subject role,2,NIAID NIH HHS,0.954,no,no,no,0.862,0.966,0.566,no,GO:0006915,0.986
RSCID.456738.20105,GSE13896,Smoking-dependent Reprogramming of Alveolar Macrophage Polarization: Implication for Pathogenesis of COPD,58,clinical history,Smoking,Non smoking; reference subject role,6,NHLBI NIH HHS,0.965,no,no,no,0.841,0.977,0.583,no,GO:0006952,0.647
RSCID.459972.112479,GSE13904,"Expression profiling across the pediatric systemic inflammatory response syndrome, sepsis, and septic shock spectrum",85,disease,septic shock; 1 day,1 day; reference subject role,126,NIGMS NIH HHS,0.922,no,no,yes,0.986,0.952,0.986,yes,GO:0006955,0.581
RSCID.455545.113419,GSE13909,Molecular signature of cell cycle exit induced in human T lymphoblasts by IL-2 withdrawal,18,timepoint,before treatment,8 hours,37,NA,0.866,no,no,no,NA,NA,0.67,no,GO:0034097,0.651
RSCID.458775.18856,GSE13911,Expression data from primary gastric tumors (MSI and MSS) and adjacent normal samples,51,disease,Microsatellite Instability; stomach tumor,reference subject role,195,NA,0.892,yes,no,no,NA,NA,0.852,no,GO:0009888,0.533
RSCID.449248.77416,GSE13933,Trachea Epithelium as a â€œ Canaryâ€ for Cigarette Smoking-induced Biologic Phenotype of Small Airway Epithelium,54,phenotype,Smoker,reference subject role,62,NHLBI NIH HHS,0.794,no,no,no,0.739,0.773,0.595,no,GO:0016491,0.584
RSCID.456781.20016,GSE14001,PAX2: A Potential Biomarker for Low Malignant Potential Ovarian Tumors and Low-Grade Serous Ovarian Carcinomas,13,clinical history,High grade serous ovarian carcinoma,Ovarian surface epithelia,1164,NCI NIH HHS,0.751,yes,no,no,0.737,0.742,0.752,no,GO:0030054,0.521
RSCID.457856.82020,GSE14062,MLL rearrangements in pediatric ALL and AML: MLL specific and lineage specific signatures,140,genotype,"Rearrangment; MLL [human] myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)",Without MLL rearrangment; wild type genotype,277,NA,0.743,no,no,no,NA,NA,0.602,no,GO:0030054,0.542
RSCID.454824.19639,GSE14245,Multiple Salivary Biomarkers for Early Detection of Pancreatic Cancer,24,disease,Pancreatic Cancer,reference subject role,5,NA,0.701,no,no,no,NA,NA,NA,no,GO:0046649,0.694
RSCID.447888.20987,GSE14315,Effects of demethylation on lung cancer cell lines,58,treatment,azacitidine; trichostatin A,reference substance role,762,NA,0.822,yes,no,no,NA,NA,0.831,no,GO:0006955,0.54
RSCID.449977.76522,GSE14333,Expression data from 290 primary colorectal cancers,290,sex,female,male,10,NCI NIH HHS,0.998,no,yes,no,0.774,0.9,1,no,GO:0016577,0.624
RSCID.456939.74002,GSE14334,Transcriptomic analysis of human lung development,6,developmental stage,133 dpc,110 dpc,34,NHLBI NIH HHS,0.913,no,no,no,0.786,0.898,0.562,no,GO:0006952,0.657
RSCID.458777.18820,GSE14386,Interferon beta-1a-induced changes in gene expression in PBMCs derived from CIS patients,30,treatment,IFNB-1a,reference subject role,3,NINDS NIH HHS,0.996,no,no,no,0.558,0.996,0.666,no,GO:0019221,0.988
RSCID.459523.67827,GSE14407,Ovarian Cancer gene expression profiling identifies the surface of the ovary as a stem cell niche,24,disease,ovarian carcinoma,reference subject role,646,NA,0.827,no,no,no,NA,NA,0.837,no,GO:0009888,0.525
RSCID.466795.123995,GSE14468,Gene expression profiling of CEBPA double and single mutant and CEBPA wild type AML.,526,sex,female,male,5,NA,0.999,no,yes,no,NA,NA,1,no,GO:0060765,0.666
